,DishWasher,WashingMachine,BaseLoad,P_EV,P_HP
2024-01-05 14:00:00,0.0,0.001,0.049,0.0,0.0
2024-01-05 14:15:00,0.0,0.001,0.049,0.0,0.26666666666666666
2024-01-05 14:30:00,0.0,0.001,0.049,0.0,2.1333333333333333
2024-01-05 14:45:00,0.0,0.001,0.07866666666666668,0.0,0.0
2024-01-05 15:00:00,0.0,0.001,0.36566666666666664,0.0,0.0
2024-01-05 15:15:00,0.0,0.001,0.7570666666666667,0.0,0.0
2024-01-05 15:30:00,0.0,0.001,0.06199999999999999,0.0,0.0
2024-01-05 15:45:00,0.0,0.001,0.05593333333333333,0.0,0.0
2024-01-05 16:00:00,0.0,0.001,0.049,0.0,0.0
2024-01-05 16:15:00,0.0,0.001,0.049,0.0,0.0
2024-01-05 16:30:00,0.0,0.001,0.38366666666666666,0.0,0.0
2024-01-05 16:45:00,0.0,0.001,0.20533333333333334,0.0,0.0
2024-01-05 17:00:00,0.0,0.001,0.049,0.0,2.4
2024-01-05 17:15:00,0.0,0.001,0.45195299796604627,1.0,0.0
2024-01-05 17:30:00,0.0,0.001,0.46062374237267356,0.0,0.0
2024-01-05 17:45:00,0.0,0.001,0.08149040903934017,0.0,0.0
2024-01-05 18:00:00,0.0,0.001,0.38049040903934017,0.0,0.0
2024-01-05 18:15:00,0.0,0.001,1.4846904090393402,0.0,0.0
2024-01-05 18:30:00,0.0,0.001,2.1796707444066272,0.0,0.0
2024-01-05 18:45:00,0.0,0.001,0.6219609120902707,0.0,0.0
2024-01-05 19:00:00,0.0,0.001,0.0608237423726735,0.0,0.0
2024-01-05 19:15:00,0.0,0.001,0.2254237423726735,0.0,0.0
2024-01-05 19:30:00,0.0,0.001,0.7535620204314772,0.0,0.5333333333333333
2024-01-05 19:45:00,0.0,0.001,0.8791759397255878,0.0,1.8666666666666667
2024-01-05 20:00:00,0.0,0.001,0.42033119125105306,0.0,0.0
2024-01-05 20:15:00,0.0,0.001,0.33437593972558777,0.0,0.0
2024-01-05 20:30:00,0.0,0.001,1.6539988335883382,0.0,0.0
2024-01-05 20:45:00,0.0,0.001,2.403318247627561,0.0,0.0
2024-01-05 21:00:00,0.0,0.001,0.8621092730589212,0.0,0.0
2024-01-05 21:15:00,0.0,0.001,0.473709273058921,0.0,0.0
2024-01-05 21:30:00,0.0,0.001,0.33437593972558777,0.0,0.0
2024-01-05 21:45:00,0.0,0.001,0.33437593972558777,0.0,0.0
2024-01-05 22:00:00,0.0,0.001,0.33437593972558777,0.0,0.0
2024-01-05 22:15:00,0.0,0.001,0.44804260639225446,0.0,1.8666666666666667
2024-01-05 22:30:00,0.0,0.001,0.5027680256013632,0.0,0.5333333333333333
2024-01-05 22:45:00,0.0,0.001,0.37804260639225445,0.0,0.0
2024-01-05 23:00:00,0.0,0.001,0.1818237423726735,0.0,0.0
2024-01-05 23:15:00,0.0,0.001,0.16569040903934018,0.0,0.0
2024-01-05 23:30:00,0.0,0.001,0.0608237423726735,0.0,0.0
2024-01-05 23:45:00,0.0,0.001,0.19839616361573606,0.0,0.0
2024-01-06 00:00:00,0.0,0.001,0.20533333333333334,0.0,0.0
2024-01-06 00:15:00,0.0,0.001,0.239,0.0,0.0
2024-01-06 00:30:00,0.0,0.001,0.049,0.0,0.0
2024-01-06 00:45:00,0.0,0.001,0.07213827805880382,0.0,0.0
2024-01-06 01:00:00,0.0,0.001,0.10121886401958097,0.0,0.0
2024-01-06 01:15:00,0.0,0.001,0.6353521973529143,0.0,0.0
2024-01-06 01:30:00,0.0,0.001,0.1805521973529143,0.0,0.0
2024-01-06 01:45:00,0.0,0.001,0.25793131841174854,0.0,0.0
2024-01-06 02:00:00,0.0,0.001,0.6074,0.0,0.0
2024-01-06 02:15:00,0.0,0.001,0.049,0.0,0.0
2024-01-06 02:30:00,0.0,0.001,0.5004666666666666,0.0,0.0
2024-01-06 02:45:00,0.0,0.001,0.204,0.0,0.0
2024-01-06 03:00:00,0.0,0.001,0.09266666666666666,0.0,0.0
2024-01-06 03:15:00,0.0,0.001,0.239,0.0,0.0
2024-01-06 03:30:00,0.0,0.001,0.6327333333333333,0.0,0.0
