,TumbleDryer,DishWasher,BaseLoad,P_HP
2024-01-11 21:30:00,0.001,0.0,0.41932566056480547,0.6
2024-01-11 21:45:00,0.001,0.0,0.4258472433896504,0.0
2024-01-11 22:00:00,0.001,0.0,0.7357570757060068,0.0
2024-01-11 22:15:00,0.001,0.0,0.2875570757060068,0.0
2024-01-11 22:30:00,0.001,0.0,0.3291570757060069,0.0
2024-01-11 22:45:00,0.001,0.0,0.38895707570600685,0.0
2024-01-11 23:00:00,0.001,0.0,0.214517746440581,0.0
2024-01-11 23:15:00,0.001,0.0,0.18713333333333332,0.0
2024-01-11 23:30:00,0.001,0.0,0.2188,0.0
2024-01-11 23:45:00,0.001,0.0,0.2594666666666667,0.0
2024-01-12 00:00:00,0.001,0.0,0.292,0.0
2024-01-12 00:15:00,0.001,0.0,0.4693333333333333,0.0
2024-01-12 00:30:00,0.001,0.0,0.368,0.0
2024-01-12 00:45:00,0.001,0.0,0.292,0.0
2024-01-12 01:00:00,0.001,0.0,0.09766666666666667,0.0
2024-01-12 01:15:00,0.001,0.0,0.049,0.0
2024-01-12 01:30:00,0.001,0.0,0.049,0.0
2024-01-12 01:45:00,0.001,0.0,0.18833333333333332,0.0
2024-01-12 02:00:00,0.001,0.0,0.16299999999999998,0.0
2024-01-12 02:15:00,0.001,0.0,0.049,0.0
2024-01-12 02:30:00,0.001,0.0,0.049,0.0
2024-01-12 02:45:00,0.001,0.0,0.049,0.0
2024-01-12 03:00:00,0.001,0.0,0.049,0.0
2024-01-12 03:15:00,0.001,0.0,0.15033333333333332,0.0
2024-01-12 03:30:00,0.001,0.0,0.20099999999999998,0.0
2024-01-12 03:45:00,0.001,0.0,0.049,0.0
2024-01-12 04:00:00,0.001,0.0,0.049,0.0
2024-01-12 04:15:00,0.001,0.0,0.049,1.8
2024-01-12 04:30:00,0.001,0.0,0.049,2.4
2024-01-12 04:45:00,0.001,0.0,0.11233333333333334,1.2
2024-01-12 05:00:00,0.001,0.0,0.239,0.2
