,DishWasher,BaseLoad,P_EV,P_HP
2024-01-05 04:30:00,0.0,0.17166666666666666,0.0,0.5333333333333333
2024-01-05 04:45:00,0.0,0.45086666666666664,0.0,0.0
2024-01-05 05:00:00,0.0,0.17826666666666666,0.0,0.0
2024-01-05 05:15:00,0.0,0.045,0.0,0.0
2024-01-05 05:30:00,0.0,0.045,0.0,0.0
2024-01-05 05:45:00,0.0,0.045,0.0,0.0
2024-01-05 06:00:00,0.0,0.235,0.0,0.0
2024-01-05 06:15:00,0.0,0.121,0.0,0.0
2024-01-05 06:30:00,0.0,0.045,0.0,0.0
2024-01-05 06:45:00,0.0,0.045,0.0,0.0
2024-01-05 07:00:00,0.0,0.045,0.0,0.0
2024-01-05 07:15:00,0.0,0.10833333333333334,0.0,0.0
2024-01-05 07:30:00,0.0,0.235,0.0,0.0
2024-01-05 07:45:00,0.0,0.057666666666666665,0.0,0.0
2024-01-05 08:00:00,0.0,0.045,0.0,0.0
2024-01-05 08:15:00,0.0,0.0502,0.0,0.0
2024-01-05 08:30:00,0.0,0.058,0.0,1.6
2024-01-05 08:45:00,0.0,0.18466666666666667,0.0,1.3333333333333333
2024-01-05 09:00:00,0.0,0.19733333333333333,0.0,0.0
2024-01-05 09:15:00,0.0,0.0528,0.0,0.0
2024-01-05 09:30:00,0.0,0.0568237423726735,0.0,0.0
2024-01-05 09:45:00,0.0,0.0568237423726735,0.0,0.0
2024-01-05 10:00:00,0.0,0.0568237423726735,0.0,0.0
2024-01-05 10:15:00,0.0,0.24682374237267352,0.0,0.0
2024-01-05 10:30:00,0.0,0.1328237423726735,0.0,0.0
2024-01-05 10:45:00,0.0,0.04894124745755783,0.0,0.0
2024-01-05 11:00:00,0.0,0.045,0.0,0.0
2024-01-05 11:15:00,0.0,0.04586666666666666,6.6,0.0
2024-01-05 11:30:00,0.0,0.14553333333333332,8.8,0.0
2024-01-05 11:45:00,0.0,0.369,0.0,0.0
