,BaseLoad,P_EV,P_WB
2024-01-05 07:15:00,0.2868507324509714,0.0,1.4
2024-01-05 07:30:00,0.17066666666666666,0.0,0.0
2024-01-05 07:45:00,0.044,0.0,0.0
2024-01-05 08:00:00,0.054400000000000004,0.0,2.0
2024-01-05 08:15:00,0.057,0.0,2.2
2024-01-05 08:30:00,0.09833333333333334,0.0,1.8
2024-01-05 08:45:00,0.4592666666666666,0.0,0.0
2024-01-05 09:00:00,0.4892666666666666,0.0,0.0
2024-01-05 09:15:00,0.057,0.0,0.0
2024-01-05 09:30:00,0.13766666666666666,0.0,3.0
2024-01-05 09:45:00,0.20324175788233143,0.0,0.8
2024-01-05 10:00:00,0.2043521973529143,0.0,0.0
2024-01-05 10:15:00,0.3988855306862476,7.0,0.0
2024-01-05 10:30:00,0.47721886401958097,7.0,0.0
2024-01-05 10:45:00,0.11588553068624764,1.4,2.0
2024-01-05 11:00:00,0.05031043947058286,0.0,0.0
2024-01-05 11:15:00,0.044,0.0,0.0
2024-01-05 11:30:00,0.044,0.0,0.0
2024-01-05 11:45:00,0.13833333333333334,0.0,0.0
2024-01-05 12:00:00,0.4079313184117486,0.0,0.0
2024-01-05 12:15:00,0.11921886401958097,0.0,0.0
2024-01-05 12:30:00,0.07728553068624765,0.0,0.0
2024-01-05 12:45:00,0.0885521973529143,0.0,0.0
2024-01-05 13:00:00,0.07593131841174858,0.0,0.0
2024-01-05 13:15:00,0.4948,0.0,2.4
2024-01-05 13:30:00,0.3468666666666667,0.0,1.2
2024-01-05 13:45:00,0.19566666666666668,0.0,1.8
2024-01-05 14:00:00,0.047466666666666664,0.0,0.0
2024-01-05 14:15:00,0.057,0.0,0.0
2024-01-05 14:30:00,0.057,0.0,0.0
2024-01-05 14:45:00,0.15033333333333332,1.8666666666666667,0.0
2024-01-05 15:00:00,0.38866666666666666,0.0,1.6
2024-01-05 15:15:00,0.4089215828248449,0.0,1.2
2024-01-05 15:30:00,0.33915707570600684,0.0,0.0
2024-01-05 15:45:00,0.7582904090393403,0.0,0.0
2024-01-05 16:00:00,0.17682374237267354,0.0,1.0
2024-01-05 16:15:00,0.30995707570600683,0.0,1.8
2024-01-05 16:30:00,0.4834275787569374,0.0,2.6
2024-01-05 16:45:00,0.39193333333333336,0.0,0.0
2024-01-05 17:00:00,0.302,0.0,0.0
2024-01-05 17:15:00,0.10306666666666667,0.0,0.0
2024-01-05 17:30:00,0.08433333333333334,0.0,0.0
2024-01-05 17:45:00,0.165,0.0,0.6
2024-01-05 18:00:00,0.317,0.0,3.0
2024-01-05 18:15:00,0.6891333333333333,0.0,2.4
2024-01-05 18:30:00,0.32157649898302315,0.0,0.0
2024-01-05 18:45:00,0.18815707570600682,0.0,0.0
2024-01-05 19:00:00,0.17682374237267354,0.0,0.0
2024-01-05 19:15:00,0.17682374237267354,0.0,1.4
2024-01-05 19:30:00,0.30349040903934016,0.0,1.4
2024-01-05 19:45:00,0.29362400220395707,0.0,0.0
2024-01-05 20:00:00,0.679018864019581,0.0,0.0
2024-01-05 20:15:00,0.4518855306862476,0.0,0.0
2024-01-05 20:30:00,0.3238581932850068,0.0,0.0
2024-01-05 20:45:00,0.3209620204314773,0.0,0.0
2024-01-05 21:00:00,0.39915707570600684,0.0,0.0
2024-01-05 21:15:00,0.3576237423726735,0.0,0.0
2024-01-05 21:30:00,0.0558237423726735,0.0,0.0
2024-01-05 21:45:00,0.19978824949151158,0.0,0.0
2024-01-05 22:00:00,0.10600000000000001,0.0,0.0
2024-01-05 22:15:00,0.04951774644058096,0.0,0.0
2024-01-05 22:30:00,0.19249736868639541,0.0,0.0
2024-01-05 22:45:00,0.39837593972558777,0.0,0.0
2024-01-05 23:00:00,0.20837593972558782,0.0,0.0
2024-01-05 23:15:00,0.8137759397255878,0.0,0.8
2024-01-05 23:30:00,0.34516011147713876,0.0,3.0
2024-01-05 23:45:00,0.1599759397255878,0.0,3.0
2024-01-06 00:00:00,0.11490432833345064,0.0,3.0
2024-01-06 00:15:00,0.24582374237267351,0.0,0.2
2024-01-06 00:30:00,0.08115707570600685,0.0,0.0
2024-01-06 00:45:00,0.044,0.0,0.0
2024-01-06 01:00:00,0.18866666666666668,0.0,0.0
2024-01-06 01:15:00,0.11633333333333334,0.0,0.0
2024-01-06 01:30:00,0.06933333333333333,0.0,0.0
2024-01-06 01:45:00,0.234,0.0,1.8
2024-01-06 02:00:00,0.09466666666666666,0.0,0.8
2024-01-06 02:15:00,0.044,0.0,2.8
2024-01-06 02:30:00,0.10600000000000001,0.0,2.2
2024-01-06 02:45:00,0.5988,0.0,0.0
2024-01-06 03:00:00,0.044,0.0,0.0
2024-01-06 03:15:00,0.234,0.0,0.0
2024-01-06 03:30:00,0.12000000000000001,0.0,2.8
2024-01-06 03:45:00,0.044,0.0,0.2
2024-01-06 04:00:00,0.044,0.0,0.0
2024-01-06 04:15:00,0.17833333333333334,0.0,0.0
2024-01-06 04:30:00,0.12666666666666668,0.0,1.0
2024-01-06 04:45:00,0.2086666666666667,0.0,1.4
2024-01-06 05:00:00,0.2786,0.0,0.0
2024-01-06 05:15:00,0.44380000000000003,1.8666666666666667,0.0
2024-01-06 05:30:00,0.044,0.0,0.0
2024-01-06 05:45:00,0.09566666666666666,0.0,0.0
2024-01-06 06:00:00,0.199,0.0,0.0
2024-01-06 06:15:00,0.19366666666666668,0.0,0.0
2024-01-06 06:30:00,0.17066666666666666,0.0,0.0
2024-01-06 06:45:00,0.044,0.0,0.0
2024-01-06 07:00:00,0.044,0.0,0.6
2024-01-06 07:15:00,0.044,0.0,3.0
2024-01-06 07:30:00,0.168,0.0,3.0
2024-01-06 07:45:00,0.251,0.0,1.6
2024-01-06 08:00:00,0.196,0.0,0.0
2024-01-06 08:15:00,0.044,0.0,0.0
2024-01-06 08:30:00,0.044,0.0,0.0
2024-01-06 08:45:00,0.5814,4.2,0.6
2024-01-06 09:00:00,0.09833333333333334,0.0,3.0
2024-01-06 09:15:00,0.30066666666666664,0.0,0.6
2024-01-06 09:30:00,0.255,0.0,0.0
2024-01-06 09:45:00,0.07433333333333333,0.0,0.0
2024-01-06 10:00:00,0.6912049447254704,0.0,2.8
2024-01-06 10:15:00,0.5663521973529143,0.0,1.4
2024-01-06 10:30:00,0.1665521973529143,0.0,0.0
2024-01-06 10:45:00,0.3192855306862476,0.0,0.0
