,DishWasher,WashingMachine,BaseLoad,P_EV
2024-01-06 00:00:00,0.0,0.001,0.056,0.0
2024-01-06 00:15:00,0.0,0.001,0.166,0.0
2024-01-06 00:30:00,0.0,0.001,0.22466666666666668,0.0
2024-01-06 00:45:00,0.0,0.001,0.094,0.0
2024-01-06 01:00:00,0.0,0.001,0.056,0.0
2024-01-06 01:15:00,0.0,0.001,0.056,0.0
2024-01-06 01:30:00,0.0,0.001,0.6697333333333334,0.0
2024-01-06 01:45:00,0.0,0.001,0.19066666666666665,0.0
2024-01-06 02:00:00,0.0,0.001,0.4238666666666667,0.0
2024-01-06 02:15:00,0.0,0.001,0.18926666666666667,0.0
2024-01-06 02:30:00,0.0,0.001,0.056,0.0
2024-01-06 02:45:00,0.0,0.001,0.10733333333333334,0.0
2024-01-06 03:00:00,0.0,0.001,0.15666666666666668,0.0
2024-01-06 03:15:00,0.0,0.001,1.0202666666666667,0.0
2024-01-06 03:30:00,0.0,0.001,0.056,0.0
2024-01-06 03:45:00,0.0,0.001,0.056,0.0
2024-01-06 04:00:00,0.0,0.001,0.078,0.0
2024-01-06 04:15:00,0.0,0.001,0.166,0.0
2024-01-06 04:30:00,0.0,0.001,0.20266666666666666,0.0
2024-01-06 04:45:00,0.0,0.001,0.094,0.0
2024-01-06 05:00:00,0.0,0.001,0.056,0.0
2024-01-06 05:15:00,0.0,0.001,0.056,0.0
2024-01-06 05:30:00,0.0,0.001,0.15866666666666665,0.0
2024-01-06 05:45:00,0.0,0.001,0.5684666666666666,0.0
2024-01-06 06:00:00,0.0,0.001,0.15733333333333333,0.0
2024-01-06 06:15:00,0.0,0.001,0.056,0.0
2024-01-06 06:30:00,0.0,0.001,0.056,0.0
2024-01-06 06:45:00,0.0,0.001,0.12933333333333336,0.0
2024-01-06 07:00:00,0.0,0.001,0.13466666666666666,0.0
2024-01-06 07:15:00,0.0,0.001,0.32553333333333334,0.0
2024-01-06 07:30:00,0.0,0.001,0.177,8.0
2024-01-06 07:45:00,0.0,0.001,0.177,14.0
2024-01-06 08:00:00,0.0,0.001,0.221,0.0
2024-01-06 08:15:00,0.0,0.001,0.2723333333333333,0.0
2024-01-06 08:30:00,0.0,0.001,0.21146666666666664,0.0
2024-01-06 08:45:00,0.0,0.001,0.094,0.0
2024-01-06 09:00:00,0.0,0.001,0.056,0.0
2024-01-06 09:15:00,0.0,0.001,0.07066666666666667,0.0
2024-01-06 09:30:00,0.0,0.001,0.166,0.0
2024-01-06 09:45:00,0.0,0.001,0.14666666666666667,0.0
2024-01-06 10:00:00,0.0,0.001,0.15733333333333333,0.0
2024-01-06 10:15:00,0.0,0.001,0.056,0.0
2024-01-06 10:30:00,0.0,0.001,0.056,0.0
2024-01-06 10:45:00,0.0,0.001,0.17573333333333335,0.0
2024-01-06 11:00:00,0.0,0.001,0.23466666666666663,0.0
2024-01-06 11:15:00,0.0,0.001,0.3426666666666666,0.0
2024-01-06 11:30:00,0.0,0.001,0.30465333333333333,2.0
2024-01-06 11:45:00,0.0,0.001,0.3137,15.0
2024-01-06 12:00:00,0.0,0.001,0.33316666666666667,9.0
2024-01-06 12:15:00,0.0,0.001,0.2780333333333333,0.0
2024-01-06 12:30:00,0.0,0.001,0.3440333333333333,0.0
2024-01-06 12:45:00,0.0,0.001,0.2427,0.0
2024-01-06 13:00:00,0.0,0.001,0.1969,0.0
2024-01-06 13:15:00,0.0,0.001,0.22836666666666663,0.0
2024-01-06 13:30:00,0.0,0.001,0.3268466666666666,0.0
2024-01-06 13:45:00,0.0,0.001,0.34693999999999997,0.0
2024-01-06 14:00:00,0.0,0.001,0.3943533333333333,0.0
2024-01-06 14:15:00,0.0,0.001,0.2047,0.0
2024-01-06 14:30:00,0.0,0.001,0.20249999999999999,0.0
2024-01-06 14:45:00,0.0,0.001,0.30169999999999997,0.0
2024-01-06 15:00:00,0.0,0.001,0.2828333333333333,0.0
2024-01-06 15:15:00,0.0,0.001,0.8803196646327129,0.0
2024-01-06 15:30:00,0.0,0.001,0.3245237423726735,0.0
2024-01-06 15:45:00,0.0,0.001,0.3245237423726735,0.0
2024-01-06 16:00:00,0.0,0.001,0.4127237423726735,0.0
2024-01-06 16:15:00,0.0,0.001,0.4430970757060068,0.0
2024-01-06 16:30:00,0.0,0.001,0.5034993292654258,2.0
2024-01-06 16:45:00,0.0,0.001,0.37589999999999996,1.0
2024-01-06 17:00:00,0.0,0.001,0.9677666666666667,0.0
2024-01-06 17:15:00,0.0,0.001,0.42016666666666663,0.0
2024-01-06 17:30:00,0.0,0.001,0.3036882494915115,0.0
2024-01-06 17:45:00,0.0,0.001,0.26482374237267353,0.0
2024-01-06 18:00:00,0.0,0.001,0.2820904090393402,0.0
