,Occupancy,EV_plugged,EV_arrival,EV_departure,SoC_ref_EV,SoC_arr_EV,T_set_HP,T_ref_HP,T_wall_HP,T_out_HP,P_loss_HP,P_use_WB,P_loss_WB,T_set_WB,T_ref_WB,Water_use
2024-08-03 18:27:00,1.0,0,0,0,0.0,0.0,20.0,24.634983960505707,24.44892021821178,27.99,0.36222655735187775,0.0,0.07764377598465598,60.0,60.82188799232799,0.0
2024-08-03 18:28:00,1.0,0,0,0,0.0,0.0,20.0,24.63508229446768,24.450320618216303,27.99,0.36222655735187775,0.0,0.07763264691977523,60.0,60.81632345988761,0.0
2024-08-03 18:29:00,1.0,0,0,0,0.0,0.0,20.0,24.63518193314523,24.451719193020075,27.99,0.36222655735187775,0.0,0.07762151945007817,60.0,60.810759725039084,0.0
2024-08-03 18:30:00,1.0,0,0,0,0.0,0.0,20.0,24.635282873329306,24.453115946484868,27.99,0.36222655735187775,0.0,0.07761039357533617,60.0,60.80519678766808,0.0
2024-08-03 18:31:00,1.0,0,0,0,0.0,0.0,20.0,24.635385111818124,24.454510882463822,27.99,0.36222655735187775,0.0,0.07759926929532059,60.0,60.79963464766029,0.0
2024-08-03 18:32:00,1.0,0,0,0,0.0,0.0,20.0,24.63548864541714,24.455904004801464,27.99,0.36222655735187775,0.0,0.07758814660980286,60.0,60.79407330490143,0.0
2024-08-03 18:33:00,1.0,0,0,0,0.0,0.0,20.0,24.635593470939046,24.45729531733372,27.99,0.36222655735187775,0.0,0.07757702551855446,60.0,60.788512759277225,0.0
2024-08-03 18:34:00,1.0,0,0,0,0.0,0.0,20.0,24.635699585203735,24.458684823887946,27.99,0.36222655735187775,0.0,0.07756590602134682,60.0,60.78295301067341,0.0
2024-08-03 18:35:00,1.0,0,0,0,0.0,0.0,20.0,24.63580698503831,24.460072528282932,27.99,0.36222655735187775,0.0,0.07755478811795151,60.0,60.77739405897575,0.0
2024-08-03 18:36:00,1.0,0,0,0,0.0,0.0,20.0,24.635915667277047,24.461458434328936,27.99,0.36222655735187775,0.0,0.07754367180814005,60.0,60.771835904070024,0.0
2024-08-03 18:37:00,1.0,0,0,0,0.0,0.0,20.0,24.636025628761388,24.46284254582769,27.99,0.36222655735187775,0.0,0.07753255709168402,60.0,60.76627854584201,0.0
