,Occupancy,EV_plugged,EV_arrival,EV_departure,SoC_ref_EV,SoC_arr_EV,T_set_HP,T_ref_HP,T_wall_HP,T_out_HP,P_loss_HP
2024-07-29 03:20:00,1.0,0,0,0,0.0,0.0,20.0,15.879516128766653,15.89611870218932,15.20833,0.36655901510803535
2024-07-29 03:21:00,2.0,0,0,0,0.0,0.0,15.0,16.070751074099057,15.895359049986064,15.20833,0.36655901510803535
2024-07-29 03:22:00,2.0,0,0,0,0.0,0.0,15.0,16.070161105346397,15.895219797032093,15.20833,0.36655901510803535
2024-07-29 03:23:00,2.0,0,0,0,0.0,0.0,15.0,16.06957257823369,15.8950792324487,15.20833,0.36655901510803535
2024-07-29 03:24:00,2.0,0,0,0,0.0,0.0,15.0,16.06898548405342,15.894937366467937,15.20833,0.36655901510803535
2024-07-29 03:25:00,2.0,0,0,0,0.0,0.0,15.0,16.068399814157925,15.89479420925023,15.20833,0.36655901510803535
2024-07-29 03:26:00,2.0,0,0,0,0.0,0.0,15.0,16.067815559958955,15.894649770884877,15.20833,0.36655901510803535
2024-07-29 03:27:00,2.0,0,0,0,0.0,0.0,15.0,16.06723271292729,15.894504061390535,15.20833,0.36655901510803535
2024-07-29 03:28:00,2.0,0,0,0,0.0,0.0,15.0,16.066651264592306,15.894357090715722,15.20833,0.36655901510803535
2024-07-29 03:29:00,2.0,0,0,0,0.0,0.0,15.0,16.066071206541583,15.8942088687393,15.20833,0.36655901510803535
2024-07-29 03:30:00,2.0,0,0,0,0.0,0.0,15.0,16.065492530420492,15.894059405270953,15.20833,0.36655901510803535
2024-07-29 03:31:00,2.0,0,0,0,0.0,0.0,15.0,16.064915227931802,15.89390871005168,15.20833,0.36655901510803535
2024-07-29 03:32:00,2.0,0,0,0,0.0,0.0,15.0,16.064339290835274,15.89375679275426,15.20833,0.36655901510803535
2024-07-29 03:33:00,2.0,0,0,0,0.0,0.0,15.0,16.06376471094727,15.893603662983738,15.20833,0.36655901510803535
2024-07-29 03:34:00,2.0,0,0,0,0.0,0.0,15.0,16.06319148014036,15.893449330277884,15.20833,0.36655901510803535
2024-07-29 03:35:00,2.0,0,0,0,0.0,0.0,15.0,16.062619590342926,15.89329380410767,15.20833,0.36655901510803535
2024-07-29 03:36:00,2.0,0,0,0,0.0,0.0,15.0,16.062049033538784,15.893137093877726,15.20833,0.36655901510803535
2024-07-29 03:37:00,2.0,0,0,0,0.0,0.0,15.0,16.061479801766794,15.89297920892681,15.20833,0.36655901510803535
2024-07-29 03:38:00,2.0,0,0,0,0.0,0.0,15.0,16.06091188712048,15.892820158528261,15.20833,0.36655901510803535
2024-07-29 03:39:00,2.0,0,0,0,0.0,0.0,15.0,16.06034528174764,15.892659951890453,15.20833,0.36655901510803535
2024-07-29 03:40:00,2.0,0,0,0,0.0,0.0,15.0,16.059779977849992,15.892498598157248,15.20833,0.36655901510803535
2024-07-29 03:41:00,2.0,0,0,0,0.0,0.0,15.0,16.05921596768278,15.892336106408443,15.20833,0.36655901510803535
2024-07-29 03:42:00,2.0,0,0,0,0.0,0.0,15.0,16.058653243554403,15.892172485660218,15.20833,0.36655901510803535
2024-07-29 03:43:00,2.0,0,0,0,0.0,0.0,15.0,16.058091797826062,15.892007744865577,15.20833,0.36655901510803535
2024-07-29 03:44:00,2.0,0,0,0,0.0,0.0,15.0,16.057531622911377,15.891841892914783,15.20833,0.36655901510803535
2024-07-29 03:45:00,2.0,0,0,0,0.0,0.0,15.0,16.05697271127603,15.891674938635802,15.20833,0.36655901510803535
2024-07-29 03:46:00,2.0,0,0,0,0.0,0.0,15.0,16.0564150554374,15.89150689079473,15.20833,0.36655901510803535
2024-07-29 03:47:00,2.0,0,0,0,0.0,0.0,15.0,16.055858647964225,15.891337758096226,15.20833,0.36655901510803535
2024-07-29 03:48:00,2.0,0,0,0,0.0,0.0,15.0,16.055303481476205,15.891167549183935,15.20833,0.36655901510803535
2024-07-29 03:49:00,2.0,0,0,0,0.0,0.0,15.0,16.05474954864368,15.890996272640919,15.20833,0.36655901510803535
2024-07-29 03:50:00,2.0,0,0,0,0.0,0.0,15.0,16.054196842187274,15.89082393699007,15.20833,0.36655901510803535
2024-07-29 03:51:00,2.0,0,0,0,0.0,0.0,15.0,16.05364535487754,15.890650550694536,15.20833,0.36655901510803535
2024-07-29 03:52:00,2.0,0,0,0,0.0,0.0,15.0,16.053095079534607,15.890476122158129,15.20833,0.36655901510803535
2024-07-29 03:53:00,2.0,0,0,0,0.0,0.0,15.0,16.05254600902786,15.890300659725742,15.20833,0.36655901510803535
2024-07-29 03:54:00,2.0,0,0,0,0.0,0.0,15.0,16.051998136275568,15.89012417168376,15.20833,0.36655901510803535
2024-07-29 03:55:00,2.0,0,0,0,0.0,0.0,15.0,16.051451454244567,15.889946666260464,15.20833,0.36655901510803535
2024-07-29 03:56:00,2.0,0,0,0,0.0,0.0,15.0,16.05090595594991,15.88976815162643,15.20833,0.36655901510803535
2024-07-29 03:57:00,2.0,0,0,0,0.0,0.0,15.0,16.050361634454546,15.889588635894942,15.20833,0.36655901510803535
2024-07-29 03:58:00,1.0,0,0,0,0.0,0.0,20.0,16.049818482868968,15.889408127122378,15.20833,0.36655901510803535
2024-07-29 03:59:00,1.0,0,0,0,0.0,0.0,20.0,16.24049005287092,15.889226633308613,15.20833,0.36655901510803535
2024-07-29 04:00:00,2.0,0,0,0,0.0,0.0,15.0,16.43055387595963,15.889661261173977,14.00333,0.36655901510803535
2024-07-29 04:01:00,2.0,0,0,0,0.0,0.0,15.0,16.428754028872472,15.88947039779998,14.00333,0.36655901510803535
