,Occupancy,T_set_HP,T_ref_HP,T_wall_HP,T_out_HP,P_loss_HP
2024-08-01 19:56:00,1.0,20.0,22.706215990784646,22.273648019389274,27.29833,0.3258480176488709
2024-08-01 19:57:00,1.0,20.0,22.705918874766805,22.27590700139551,27.29833,0.3258480176488709
2024-08-01 19:58:00,1.0,20.0,22.70562461990871,22.278162273487915,27.29833,0.3258480176488709
2024-08-01 19:59:00,1.0,20.0,22.70533321877559,22.2804138444668,27.29833,0.3258480176488709
2024-08-01 20:00:00,1.0,20.0,22.705044663951046,22.282661723110863,25.10333,0.3258480176488709
2024-08-01 20:01:00,1.0,20.0,22.704664599024788,22.284134681965533,25.10333,0.3258480176488709
2024-08-01 20:02:00,1.0,20.0,22.704286614513716,22.285605009206005,25.10333,0.3258480176488709
2024-08-01 20:03:00,1.0,20.0,22.703910705085367,22.287072711132776,25.10333,0.3258480176488709
2024-08-01 20:04:00,1.0,20.0,22.703536865420443,22.288537794030855,25.10333,0.3258480176488709
2024-08-01 20:05:00,1.0,20.0,22.70316509021279,22.29000026416981,25.10333,0.3258480176488709
2024-08-01 20:06:00,1.0,20.0,22.702795374169362,22.29146012780379,25.10333,0.3258480176488709
2024-08-01 20:07:00,1.0,20.0,22.702427712010188,22.29291739117159,25.10333,0.3258480176488709
2024-08-01 20:08:00,1.0,20.0,22.702062098468335,22.29437206049665,25.10333,0.3258480176488709
2024-08-01 20:09:00,1.0,20.0,22.70169852828989,22.29582414198713,25.10333,0.3258480176488709
2024-08-01 20:10:00,1.0,20.0,22.70133699623391,22.297273641835922,25.10333,0.3258480176488709
2024-08-01 20:11:00,1.0,20.0,22.7009774970724,22.298720566220705,25.10333,0.3258480176488709
2024-08-01 20:12:00,1.0,20.0,22.700620025590286,22.30016492130397,25.10333,0.3258480176488709
2024-08-01 20:13:00,1.0,20.0,22.70026457658537,22.301606713233067,25.10333,0.3258480176488709
2024-08-01 20:14:00,1.0,20.0,22.699911144868302,22.30304594814023,25.10333,0.3258480176488709
2024-08-01 20:15:00,1.0,20.0,22.699559725262567,22.30448263214263,25.10333,0.3258480176488709
2024-08-01 20:16:00,1.0,20.0,22.69921031260442,22.3059167713424,25.10333,0.3258480176488709
2024-08-01 20:17:00,1.0,20.0,22.69886290174289,22.307348371826674,25.10333,0.3258480176488709
2024-08-01 20:18:00,1.0,20.0,22.69851748753971,22.30877743966763,25.10333,0.3258480176488709
2024-08-01 20:19:00,1.0,20.0,22.698174064869328,22.31020398092252,25.10333,0.3258480176488709
2024-08-01 20:20:00,1.0,20.0,22.697832628618837,22.311628001633707,25.10333,0.3258480176488709
2024-08-01 20:21:00,1.0,20.0,22.697493173687974,22.313049507828712,25.10333,0.3258480176488709
2024-08-01 20:22:00,1.0,20.0,22.697155694989068,22.31446850552024,25.10333,0.3258480176488709
2024-08-01 20:23:00,1.0,20.0,22.69682018744702,22.315885000706214,25.10333,0.3258480176488709
2024-08-01 20:24:00,1.0,20.0,22.696486645999272,22.317298999369818,25.10333,0.3258480176488709
2024-08-01 20:25:00,1.0,20.0,22.696155065595768,22.31871050747954,25.10333,0.3258480176488709
2024-08-01 20:26:00,1.0,20.0,22.69582544119893,22.32011953098919,25.10333,0.3258480176488709
2024-08-01 20:27:00,1.0,20.0,22.69549776778363,22.321526075837948,25.10333,0.3258480176488709
2024-08-01 20:28:00,1.0,20.0,22.695172040337145,22.322930147950405,25.10333,0.3258480176488709
2024-08-01 20:29:00,1.0,20.0,22.694848253859146,22.32433175323659,25.10333,0.3258480176488709
2024-08-01 20:30:00,1.0,20.0,22.694526403361653,22.325730897592,25.10333,0.3258480176488709
2024-08-01 20:31:00,1.0,20.0,22.694206483869014,22.32712758689765,25.10333,0.3258480176488709
2024-08-01 20:32:00,1.0,20.0,22.693888490417866,22.328521827020104,25.10333,0.3258480176488709
2024-08-01 20:33:00,1.0,20.0,22.69357241805711,22.32991362381151,25.10333,0.3258480176488709
2024-08-01 20:34:00,1.0,20.0,22.693258261847873,22.331302983109627,25.10333,0.3258480176488709
2024-08-01 20:35:00,1.0,20.0,22.692946016863498,22.332689910737873,25.10333,0.3258480176488709
2024-08-01 20:36:00,1.0,20.0,22.692635678189493,22.33407441250536,25.10333,0.3258480176488709
2024-08-01 20:37:00,1.0,20.0,22.692327240923508,22.335456494206916,25.10333,0.3258480176488709
2024-08-01 20:38:00,1.0,20.0,22.692020700175302,22.336836161623133,25.10333,0.3258480176488709
2024-08-01 20:39:00,1.0,20.0,22.691716051066724,22.338213420520397,25.10333,0.3258480176488709
2024-08-01 20:40:00,1.0,20.0,22.691413288731674,22.339588276650925,25.10333,0.3258480176488709
2024-08-01 20:41:00,1.0,20.0,22.691112408316073,22.340960735752798,25.10333,0.3258480176488709
2024-08-01 20:42:00,1.0,20.0,22.690813404977835,22.342330803549995,25.10333,0.3258480176488709
2024-08-01 20:43:00,1.0,20.0,22.69051627388684,22.34369848575243,25.10333,0.3258480176488709
