,TumbleDryer,WashingMachine,BaseLoad,P_EV,P_HP,P_WB
2024-01-04 11:45:00,0.001,0.1218282831049564,0.07082374237267351,0.0,0.0,1.5
2024-01-04 12:00:00,0.001,0.3680441955704638,0.07082374237267351,0.0,0.0,1.5
2024-01-04 12:15:00,0.001,0.7990600207583909,0.08175707570600685,0.0,0.0,0.9
2024-01-04 12:30:00,0.001,0.001,0.23600000000000002,0.0,2.4,0.0
2024-01-04 12:45:00,0.001,0.001,0.5471333333333334,0.0,0.0,1.2
2024-01-04 13:00:00,0.001,0.001,0.046,0.0,0.0,1.5
2024-01-04 13:15:00,0.001,0.001,0.0754487175293867,0.0,0.0,1.4
2024-01-04 13:30:00,0.001,0.001,0.07755219735291431,0.0,0.0,0.0
2024-01-04 13:45:00,0.001,0.001,0.3309521973529143,0.0,0.0,0.0
2024-01-04 14:00:00,0.001,0.001,0.33788553068624766,0.0,0.0,0.2
2024-01-04 14:15:00,0.001,0.001,0.2427121973529143,0.0,0.0,1.5
2024-01-04 14:30:00,0.001,0.001,0.24165391929411048,0.0,0.0,0.3
2024-01-04 14:45:00,0.001,0.001,0.17046666666666666,0.0,0.0,0.0
2024-01-04 15:00:00,0.001,0.001,0.3217382780588038,0.0,0.0,0.9
2024-01-04 15:15:00,0.001,0.001,0.39125027916078225,0.0,1.6,1.5
2024-01-04 15:30:00,0.001,0.001,0.2233759397255878,0.0,0.8,1.5
2024-01-04 15:45:00,0.001,0.001,0.2233759397255878,0.0,0.0,1.5
2024-01-04 16:00:00,0.001,0.001,0.21557593972558783,0.0,0.0,1.5
2024-01-04 16:15:00,0.001,0.001,0.29693912656872684,0.0,0.0,1.5
2024-01-04 16:30:00,0.001,0.001,0.32060015386403734,0.0,0.0,1.5
2024-01-04 16:45:00,0.001,0.001,0.10288553068624764,0.0,0.0,1.5
2024-01-04 17:00:00,0.001,0.001,1.3530055306862476,0.0,0.0,1.5
2024-01-04 17:15:00,0.001,0.001,0.1985521973529143,0.0,0.0,1.5
2024-01-04 17:30:00,0.001,0.001,0.249218864019581,0.0,0.0,1.5
2024-01-04 17:45:00,0.001,0.001,0.36541391929411043,0.0,0.0,1.5
2024-01-04 18:00:00,0.001,0.001,0.30293333333333333,0.0,0.0,1.5
2024-01-04 18:15:00,0.001,0.001,0.20733333333333331,0.0,1.0666666666666667,1.5
2024-01-04 18:30:00,0.001,0.001,0.49466666666666664,0.0,1.6,1.5
2024-01-04 18:45:00,0.001,0.001,2.273903479823528,0.0,0.0,1.5
2024-01-04 19:00:00,0.001,0.001,0.4822188640195809,0.0,0.0,1.5
2024-01-04 19:15:00,0.001,0.001,0.4359092730589211,0.0,0.0,1.5
2024-01-04 19:30:00,0.001,0.001,0.33137593972558776,0.0,0.0,1.5
2024-01-04 19:45:00,0.001,0.001,0.33137593972558776,0.0,0.0,1.5
2024-01-04 20:00:00,0.001,0.001,0.28473216692167164,0.0,0.0,1.5
2024-01-04 20:15:00,0.001,0.001,0.3403374110732939,0.0,0.0,1.5
2024-01-04 20:30:00,0.001,0.001,0.23749040903934018,0.0,0.0,1.5
2024-01-04 20:45:00,0.001,0.001,0.20196202043147735,0.0,0.0,1.5
2024-01-04 21:00:00,0.001,0.001,0.21037593972558782,0.0,0.0,1.5
2024-01-04 21:15:00,0.001,0.001,0.2426426063922545,0.0,0.0,1.5
2024-01-04 21:30:00,0.001,0.001,0.4493718619856272,0.0,0.0,1.5
2024-01-04 21:45:00,0.001,0.001,0.4968855306862476,0.0,0.0,1.5
2024-01-04 22:00:00,0.001,0.001,0.31034114149031156,0.0,2.933333333333333,1.5
2024-01-04 22:15:00,0.001,0.001,0.2998237423726735,0.0,0.0,1.5
2024-01-04 22:30:00,0.001,0.001,0.18689040903934018,0.0,0.0,1.5
2024-01-04 22:45:00,0.001,0.001,0.2916904090393402,0.0,0.0,1.5
2024-01-04 23:00:00,0.001,0.001,0.5142772507634933,0.0,0.0,1.5
2024-01-04 23:15:00,0.001,0.001,0.3448855306862476,0.0,0.0,1.5
2024-01-04 23:30:00,0.001,0.001,0.3195521973529143,0.0,0.0,1.5
2024-01-04 23:45:00,0.001,0.001,0.3195521973529143,0.0,0.0,1.5
2024-01-05 00:00:00,0.001,0.001,0.2653521973529143,0.0,0.0,1.5
2024-01-05 00:15:00,0.001,0.001,0.36331043947058284,0.0,0.0,1.5
2024-01-05 00:30:00,0.001,0.001,0.23033333333333333,0.0,0.0,1.5
2024-01-05 00:45:00,0.001,0.001,0.11860000000000001,0.0,0.0,1.5
2024-01-05 01:00:00,0.001,0.001,0.046,0.0,0.0,1.5
2024-01-05 01:15:00,0.001,0.001,0.058666666666666666,0.0,0.0,1.5
2024-01-05 01:30:00,0.001,0.001,0.23600000000000002,0.0,0.0,1.5
2024-01-05 01:45:00,0.001,0.001,0.14733333333333334,0.0,0.0,1.5
2024-01-05 02:00:00,0.001,0.001,0.046,0.0,0.0,1.5
2024-01-05 02:15:00,0.001,0.001,0.046,0.0,0.0,1.5
2024-01-05 02:30:00,0.001,0.001,0.046,0.0,0.0,1.5
2024-01-05 02:45:00,0.001,0.001,0.21066666666666664,0.0,0.0,1.5
2024-01-05 03:00:00,0.001,0.001,0.18533333333333332,0.0,0.0,1.5
2024-01-05 03:15:00,0.001,0.001,0.046,0.0,0.0,1.5
2024-01-05 03:30:00,0.001,0.001,0.046,0.0,0.0,1.5
2024-01-05 03:45:00,0.001,0.001,0.44580000000000003,0.0,0.0,1.5
2024-01-05 04:00:00,0.001,0.001,0.17266666666666666,0.0,0.0,1.5
2024-01-05 04:15:00,0.001,0.001,0.2233333333333333,0.0,1.8666666666666667,1.5
2024-01-05 04:30:00,0.001,0.001,0.046,0.0,0.0,1.5
2024-01-05 04:45:00,0.001,0.001,0.046,0.0,0.0,1.5
2024-01-05 05:00:00,0.001,0.001,0.046,0.0,0.0,1.5
