,WasherDryer,TumbleDryer,BaseLoad
2024-01-03 21:00:00,0.001,0.001,0.3165237423726735
2024-01-03 21:15:00,0.001,0.001,0.3165237423726735
2024-01-03 21:30:00,0.001,0.001,0.24291707570600682
2024-01-03 21:45:00,0.001,0.001,0.3722437423726735
2024-01-03 22:00:00,0.001,0.001,0.2740647484745347
2024-01-03 22:15:00,0.001,0.001,0.19236666666666666
2024-01-03 22:30:00,0.001,0.001,0.2693
2024-01-03 22:45:00,0.001,0.001,0.7238059959320926
2024-01-03 23:00:00,0.001,0.001,0.7413904090393402
2024-01-03 23:15:00,0.001,0.001,0.4265237423726735
2024-01-03 23:30:00,0.001,0.001,0.3531904090393401
2024-01-03 23:45:00,0.001,0.001,0.5104570757060068
2024-01-04 00:00:00,0.001,0.001,0.5953237423726735
2024-01-04 00:15:00,0.001,0.001,0.1955237423726735
2024-01-04 00:30:00,0.001,0.001,0.18527649898302315
2024-01-04 00:45:00,0.001,0.001,0.2790333333333333
2024-01-04 01:00:00,0.001,0.001,0.24969999999999998
2024-01-04 01:15:00,0.001,0.001,0.1837
2024-01-04 01:30:00,0.001,0.001,0.1837
2024-01-04 01:45:00,0.001,0.001,0.1837
2024-01-04 02:00:00,0.001,0.001,0.1837
2024-01-04 02:15:00,0.001,0.001,0.24969999999999998
2024-01-04 02:30:00,0.001,0.001,0.16142666666666666
2024-01-04 02:45:00,0.001,0.001,0.048
2024-01-04 03:00:00,0.001,0.001,0.5810666666666667
2024-01-04 03:15:00,0.001,0.001,0.048
2024-01-04 03:30:00,0.001,0.001,0.048
2024-01-04 03:45:00,0.001,0.001,0.08466666666666667
2024-01-04 04:00:00,0.001,0.001,0.158
2024-01-04 04:15:00,0.001,0.001,0.06266666666666668
2024-01-04 04:30:00,0.001,0.001,0.44780000000000003
2024-01-04 04:45:00,0.001,0.001,0.048
2024-01-04 05:00:00,0.001,0.001,0.048
2024-01-04 05:15:00,0.001,0.001,0.45513333333333333
2024-01-04 05:30:00,0.001,0.001,0.26839999999999997
2024-01-04 05:45:00,0.001,0.001,0.09200000000000001
2024-01-04 06:00:00,0.001,0.001,0.048
2024-01-04 06:15:00,0.001,0.001,0.048
2024-01-04 06:30:00,0.001,0.001,0.048
2024-01-04 06:45:00,0.001,0.001,0.048
2024-01-04 07:00:00,0.001,0.001,0.136
2024-01-04 07:15:00,0.001,0.001,0.12133333333333333
2024-01-04 07:30:00,0.001,0.001,0.048
2024-01-04 07:45:00,0.001,0.001,0.048
2024-01-04 08:00:00,0.001,0.001,0.048
2024-01-04 08:15:00,0.001,0.001,0.048
2024-01-04 08:30:00,0.001,0.001,0.10666666666666667
2024-01-04 08:45:00,0.001,0.001,0.1628
2024-01-04 09:00:00,0.001,0.001,0.061000000000000006
2024-01-04 09:15:00,0.001,0.001,0.4608
2024-01-04 09:30:00,0.001,0.001,0.09718666666666667
2024-01-04 09:45:00,0.001,0.001,0.5861
2024-01-04 10:00:00,0.001,0.001,0.6128333333333332
2024-01-04 10:15:00,0.001,0.001,0.29369999999999996
2024-01-04 10:30:00,0.001,0.001,0.20569999999999997
2024-01-04 10:45:00,0.001,0.001,0.5835
2024-01-04 11:00:00,0.001,0.001,0.1837
2024-01-04 11:15:00,0.001,0.001,0.19583333333333333
2024-01-04 11:30:00,0.001,0.001,0.19669999999999999
2024-01-04 11:45:00,0.001,0.001,0.3067
2024-01-04 12:00:00,0.001,0.001,0.24456666666666665
2024-01-04 12:15:00,0.001,0.001,0.29410000000000003
