,TumbleDryer,BaseLoad,P_EV
2024-01-04 16:00:00,0.001,2.1851333333333334,0.0
2024-01-04 16:15:00,0.001,1.5932,2.3333333333333335
2024-01-04 16:30:00,0.001,0.30308058596077714,7.0
2024-01-04 16:45:00,0.001,0.1995521973529143,7.0
2024-01-04 17:00:00,0.001,0.2882855306862476,7.0
2024-01-04 17:15:00,0.001,0.2237521973529143,6.533333333333333
2024-01-04 17:30:00,0.001,0.37688553068624764,0.0
2024-01-04 17:45:00,0.001,0.31034452458438644,0.0
2024-01-04 18:00:00,0.001,0.23277795464717255,0.0
2024-01-04 18:15:00,0.001,0.22015707570600684,0.0
2024-01-04 18:30:00,0.001,0.992157075706007,0.0
2024-01-04 18:45:00,0.001,2.1290904090393403,0.0
2024-01-04 19:00:00,0.001,1.0452431656496899,0.0
2024-01-04 19:15:00,0.001,2.5571256605648056,0.0
2024-01-04 19:30:00,0.001,0.0588237423726735,0.0
2024-01-04 19:45:00,0.001,0.21186055552953448,0.0
2024-01-04 20:00:00,0.001,0.4175092730589211,0.0
2024-01-04 20:15:00,0.001,0.3830426063922544,0.0
2024-01-04 20:30:00,0.001,0.7313876902340762,0.0
2024-01-04 20:45:00,0.001,0.32194452458438644,0.0
2024-01-04 21:00:00,0.001,0.2726057932353935,0.0
2024-01-04 21:15:00,0.001,0.38595707570600685,0.0
2024-01-04 21:30:00,0.001,0.27459187394128304,0.0
2024-01-04 21:45:00,0.001,0.32528169430198367,0.0
2024-01-04 22:00:00,0.001,0.3205521973529143,0.0
2024-01-04 22:15:00,0.001,0.40921886401958096,0.0
2024-01-04 22:30:00,0.001,0.946818864019581,0.0
2024-01-04 22:45:00,0.001,0.20761886401958096,0.0
2024-01-04 23:00:00,0.001,0.168,0.0
2024-01-04 23:15:00,0.001,0.168,0.0
2024-01-04 23:30:00,0.001,0.30513827805880384,0.0
2024-01-04 23:45:00,0.001,0.364218864019581,0.0
2024-01-05 00:00:00,0.001,0.7164855306862477,0.0
2024-01-05 00:15:00,0.001,0.07855219735291431,0.0
2024-01-05 00:30:00,0.001,0.07434523770585906,0.0
2024-01-05 00:45:00,0.001,0.18633333333333332,0.0
2024-01-05 01:00:00,0.001,0.18633333333333332,0.0
2024-01-05 01:15:00,0.001,0.047,0.0
2024-01-05 01:30:00,0.001,0.047,0.0
2024-01-05 01:45:00,0.001,0.047,0.0
2024-01-05 02:00:00,0.001,0.21166666666666664,0.0
2024-01-05 02:15:00,0.001,0.161,0.0
2024-01-05 02:30:00,0.001,0.047,0.0
2024-01-05 02:45:00,0.001,0.047,0.0
2024-01-05 03:00:00,0.001,0.047,0.0
2024-01-05 03:15:00,0.001,0.237,0.0
2024-01-05 03:30:00,0.001,0.5354666666666666,0.0
2024-01-05 03:45:00,0.001,0.047,0.0
2024-01-05 04:00:00,0.001,0.047,0.0
2024-01-05 04:15:00,0.001,0.07233333333333333,0.0
2024-01-05 04:30:00,0.001,0.237,0.0
2024-01-05 04:45:00,0.001,0.11033333333333334,0.0
2024-01-05 05:00:00,0.001,0.047,0.0
2024-01-05 05:15:00,0.001,0.047,0.0
2024-01-05 05:30:00,0.001,0.09766666666666665,0.0
2024-01-05 05:45:00,0.001,0.237,0.0
2024-01-05 06:00:00,0.001,0.08499999999999999,0.0
2024-01-05 06:15:00,0.001,0.047,0.0
2024-01-05 06:30:00,0.001,0.047,0.0
2024-01-05 06:45:00,0.001,0.123,0.0
2024-01-05 07:00:00,0.001,0.237,0.0
2024-01-05 07:15:00,0.001,0.059666666666666666,0.0
2024-01-05 07:30:00,0.001,0.5800666666666666,0.0
2024-01-05 07:45:00,0.001,0.5800666666666666,0.0
2024-01-05 08:00:00,0.001,0.6814,0.0
2024-01-05 08:15:00,0.001,0.6241333333333333,0.0
2024-01-05 08:30:00,0.001,0.047,0.0
2024-01-05 08:45:00,0.001,0.047,0.0
2024-01-05 09:00:00,0.001,0.047,0.9333333333333333
2024-01-05 09:15:00,0.001,0.3116628302824027,7.0
2024-01-05 09:30:00,0.001,0.6267570757060068,7.0
2024-01-05 09:45:00,0.001,0.1798237423726735,6.066666666666666
2024-01-05 10:00:00,0.001,2.099023742372674,0.0
2024-01-05 10:15:00,0.001,0.6596237423726736,0.0
2024-01-05 10:30:00,0.001,0.33182374237267354,0.0
2024-01-05 10:45:00,0.001,0.8238970757060068,0.0
2024-01-05 11:00:00,0.001,0.46105707570600685,0.0
2024-01-05 11:15:00,0.001,0.3425147678040335,0.0
2024-01-05 11:30:00,0.001,0.22449944074256464,0.0
2024-01-05 11:45:00,0.001,0.3915855306862477,0.0
2024-01-05 12:00:00,0.001,0.4163267781438055,0.0
2024-01-05 12:15:00,0.001,0.34707593972558776,0.9333333333333333
2024-01-05 12:30:00,0.001,0.34707593972558776,7.0
2024-01-05 12:45:00,0.001,0.9994759397255879,7.0
2024-01-05 13:00:00,0.001,2.4562759397255878,7.0
2024-01-05 13:15:00,0.001,0.5531896084262082,7.0
2024-01-05 13:30:00,0.001,0.7287417578823315,0.0
2024-01-05 13:45:00,0.001,0.8454374110732938,0.0
2024-01-05 14:00:00,0.001,0.35352374237267353,0.0
2024-01-05 14:15:00,0.001,0.5055237423726735,0.0
2024-01-05 14:30:00,0.001,0.8168411414903116,0.0
2024-01-05 14:45:00,0.001,0.4680759397255878,0.0
2024-01-05 15:00:00,0.001,0.4680759397255878,0.0
2024-01-05 15:15:00,0.001,0.5314092730589212,0.0
2024-01-05 15:30:00,0.001,0.6580759397255878,0.0
2024-01-05 15:45:00,0.001,0.41394780815697824,0.0
2024-01-05 16:00:00,0.001,0.2872393292654259,0.0
2024-01-05 16:15:00,0.001,0.24866666666666667,0.9333333333333333
2024-01-05 16:30:00,0.001,0.297,2.8
2024-01-05 16:45:00,0.001,0.8788,0.0
2024-01-05 17:00:00,0.001,0.20833333333333334,0.0
2024-01-05 17:15:00,0.001,0.5946138133268644,0.0
2024-01-05 17:30:00,0.001,0.33584260639225444,0.0
2024-01-05 17:45:00,0.001,0.44324260639225443,0.0
2024-01-05 18:00:00,0.001,0.38904260639225446,0.0
2024-01-05 18:15:00,0.001,0.22043469226802997,0.0
2024-01-05 18:30:00,0.001,0.32845435690074287,0.0
2024-01-05 18:45:00,0.001,0.8654426063922546,0.0
2024-01-05 19:00:00,0.001,0.47777593972558774,0.0
2024-01-05 19:15:00,0.001,1.0177759397255879,0.0
2024-01-05 19:30:00,0.001,0.3453759397255878,0.0
2024-01-05 19:45:00,0.001,0.3453759397255878,0.0
2024-01-05 20:00:00,0.001,0.42851310944318505,0.0
2024-01-05 20:15:00,0.001,0.626436610460162,0.0
2024-01-05 20:30:00,0.001,0.5820759397255878,0.0
2024-01-05 20:45:00,0.001,0.4680759397255878,0.0
2024-01-05 21:00:00,0.001,2.1263515809608946,0.0
2024-01-05 21:15:00,0.001,2.5062562750928747,0.0
2024-01-05 21:30:00,0.001,0.8280759397255878,0.0
2024-01-05 21:45:00,0.001,0.5567426063922544,0.0
2024-01-05 22:00:00,0.001,0.4680759397255878,0.0
2024-01-05 22:15:00,0.001,0.8678759397255879,0.0
2024-01-05 22:30:00,0.001,0.46114260639225446,0.0
2024-01-05 22:45:00,0.001,0.5048092730589211,0.0
2024-01-05 23:00:00,0.001,0.5152759397255877,0.0
2024-01-05 23:15:00,0.001,1.0011426063922544,0.0
2024-01-05 23:30:00,0.001,0.4680759397255878,0.0
2024-01-05 23:45:00,0.001,1.420057075706007,0.0
2024-01-06 00:00:00,0.001,0.5081288262144953,0.0
2024-01-06 00:15:00,0.001,0.31972158282484486,0.0
2024-01-06 00:30:00,0.001,0.2524237423726735,0.0
2024-01-06 00:45:00,0.001,0.1798237423726735,0.0
2024-01-06 01:00:00,0.001,0.2558237423726735,0.0
2024-01-06 01:15:00,0.001,0.3698237423726735,0.0
2024-01-06 01:30:00,0.001,0.19249040903934017,0.0
2024-01-06 01:45:00,0.001,0.10091774644058098,0.0
2024-01-06 02:00:00,0.001,0.0830237423726735,0.0
2024-01-06 02:15:00,0.001,0.28115707570600684,0.0
2024-01-06 02:30:00,0.001,0.7569570757060068,0.0
2024-01-06 02:45:00,0.001,0.7128904090393402,0.0
2024-01-06 03:00:00,0.001,0.1798237423726735,0.0
2024-01-06 03:15:00,0.001,0.0954,0.0
2024-01-06 03:30:00,0.001,0.17366666666666666,0.0
2024-01-06 03:45:00,0.001,0.19899999999999998,0.0
2024-01-06 04:00:00,0.001,0.047,0.0
2024-01-06 04:15:00,0.001,0.047,0.0
2024-01-06 04:30:00,0.001,0.047,0.0
2024-01-06 04:45:00,0.001,0.33226666666666665,0.0
2024-01-06 05:00:00,0.001,0.5734666666666667,0.0
2024-01-06 05:15:00,0.001,0.047,0.0
2024-01-06 05:30:00,0.001,0.047,0.0
2024-01-06 05:45:00,0.001,0.047,0.0
2024-01-06 06:00:00,0.001,0.7617333333333334,0.0
2024-01-06 06:15:00,0.001,0.6944,2.8
2024-01-06 06:30:00,0.001,0.05999999999999999,7.0
2024-01-06 06:45:00,0.001,0.05999999999999999,4.2
2024-01-06 07:00:00,0.001,0.07266666666666666,0.0
2024-01-06 07:15:00,0.001,0.237,0.0
2024-01-06 07:30:00,0.001,0.123,2.3333333333333335
2024-01-06 07:45:00,0.001,0.047,0.0
2024-01-06 08:00:00,0.001,0.4467999999999999,0.0
2024-01-06 08:15:00,0.001,0.08499999999999999,0.0
