,DishWasher,BaseLoad,P_WB
2024-10-02 07:15:00,0.0,0.11766666666666666,1.6666666666666667
2024-10-02 07:30:00,0.0,0.249,0.0
2024-10-02 07:45:00,0.0,0.11886666666666666,0.3333333333333333
2024-10-02 08:00:00,0.0,0.4458,1.0
2024-10-02 08:15:00,0.0,0.17,0.0
2024-10-02 08:30:00,0.0,0.5181333333333333,1.3333333333333333
2024-10-02 08:45:00,0.0,0.046,0.0
2024-10-02 09:00:00,0.0,0.19799999999999998,0.0
2024-10-02 09:15:00,0.0,0.18533333333333332,0.0
2024-10-02 09:30:00,0.0,0.11833333333333335,0.0
2024-10-02 09:45:00,0.0,1.2366666666666668,1.0
2024-10-02 10:00:00,0.0,2.3124666666666664,3.3333333333333335
2024-10-02 10:15:00,0.0,0.046,0.0
2024-10-02 10:30:00,0.0,0.12199999999999998,0.0
2024-10-02 10:45:00,0.0,0.7897333333333333,0.0
2024-10-02 11:00:00,0.0,0.22633333333333333,1.3333333333333333
2024-10-02 11:15:00,0.0,0.06666666666666667,0.0
2024-10-02 11:30:00,0.0,0.046,0.0
2024-10-02 11:45:00,0.0,0.046,1.3333333333333333
2024-10-02 12:00:00,0.0,0.046,0.0
2024-10-02 12:15:00,0.0,0.36000000000000004,0.0
2024-10-02 12:30:00,0.0,0.21966666666666665,0.0
2024-10-02 12:45:00,0.0,0.046,0.0
2024-10-02 13:00:00,0.0,0.046,1.3333333333333333
2024-10-02 13:15:00,0.0,0.050333333333333334,1.6666666666666667
2024-10-02 13:30:00,0.0,0.14158057672298371,2.3333333333333335
2024-10-02 13:45:00,0.0,0.8418904090393402,0.0
2024-10-02 14:00:00,0.0,0.26288143447070017,1.6666666666666667
2024-10-02 14:15:00,0.0,0.09890927305892114,0.0
2024-10-02 14:30:00,0.0,0.08779944074256467,0.0
2024-10-02 14:45:00,0.0,0.09821886401958098,1.3333333333333333
2024-10-02 15:00:00,0.0,0.2325521973529143,1.6666666666666667
2024-10-02 15:15:00,0.0,0.22374406578430475,0.0
2024-10-02 15:30:00,0.0,0.3717,0.0
2024-10-02 15:45:00,0.0,0.24503333333333333,1.3333333333333333
2024-10-02 16:00:00,0.0,0.1817,0.0
2024-10-02 16:15:00,0.0,0.30569999999999997,0.0
2024-10-02 16:30:00,0.0,0.5205666666666666,2.6666666666666665
2024-10-02 16:45:00,0.0,0.4482333333333333,0.0
2024-10-02 17:00:00,0.0,0.33921774644058095,0.6666666666666666
2024-10-02 17:15:00,0.0,0.44325707570600686,1.0
2024-10-02 17:30:00,0.0,0.26585707570600686,0.0
2024-10-02 17:45:00,0.0,0.3616837423726735,0.0
2024-10-02 18:00:00,0.0,1.7780304090393402,0.0
2024-10-02 18:15:00,0.0,2.2037237423726737,1.6666666666666667
