,BaseLoad,P_EV,P_HP
2024-01-08 02:00:00,0.054,0.0,0.0
2024-01-08 02:15:00,0.054,0.0,0.0
2024-01-08 02:30:00,0.054,0.0,0.0
2024-01-08 02:45:00,0.054,0.0,0.0
2024-01-08 03:00:00,0.168,0.0,0.0
2024-01-08 03:15:00,0.24400000000000002,0.0,0.0
2024-01-08 03:30:00,0.054,0.0,0.0
2024-01-08 03:45:00,0.054,1.4666666666666666,0.0
2024-01-08 04:00:00,0.054,2.933333333333333,0.0
2024-01-08 04:15:00,0.054,0.0,2.6666666666666665
2024-01-08 04:30:00,0.15533333333333335,0.0,3.466666666666667
2024-01-08 04:45:00,0.24400000000000002,0.0,1.3333333333333333
2024-01-08 05:00:00,0.06666666666666667,0.0,0.0
2024-01-08 05:15:00,0.054,0.0,0.0
2024-01-08 05:30:00,0.054,0.0,0.8
2024-01-08 05:45:00,0.054,0.0,0.0
2024-01-08 06:00:00,0.14266666666666666,8.066666666666666,0.0
2024-01-08 06:15:00,0.24400000000000002,0.7333333333333333,2.1333333333333333
2024-01-08 06:30:00,0.07933333333333333,0.0,4.0
2024-01-08 06:45:00,0.054,0.0,4.0
2024-01-08 07:00:00,0.054,0.0,3.7333333333333334
2024-01-08 07:15:00,0.054,0.0,0.0
2024-01-08 07:30:00,0.13,0.0,0.0
2024-01-08 07:45:00,0.24400000000000002,0.0,3.2
2024-01-08 08:00:00,0.092,0.0,1.0666666666666667
2024-01-08 08:15:00,0.054,0.0,0.0
2024-01-08 08:30:00,0.054,1.4666666666666666,0.0
2024-01-08 08:45:00,0.054,3.6666666666666665,2.6666666666666665
2024-01-08 09:00:00,0.11733333333333333,0.0,2.1333333333333333
2024-01-08 09:15:00,0.24400000000000002,0.0,0.0
2024-01-08 09:30:00,0.10466666666666667,0.0,0.0
2024-01-08 09:45:00,0.054,0.0,0.0
2024-01-08 10:00:00,0.054,0.0,2.6666666666666665
2024-01-08 10:15:00,0.054,0.0,2.1333333333333333
