,WasherDryer,BaseLoad,P_EV,P_HP,P_WB
2024-01-04 15:30:00,0.001,0.12423999999999999,1.8666666666666667,0.0,0.0
2024-01-04 15:45:00,0.001,0.058,0.0,1.8,0.0
2024-01-04 16:00:00,0.001,0.058,0.0,0.8,0.0
2024-01-04 16:15:00,0.001,0.2134,0.0,0.0,0.0
2024-01-04 16:30:00,0.001,0.8720666666666668,0.0,0.0,0.0
2024-01-04 16:45:00,0.001,0.1743333333333333,0.0,0.0,0.0
2024-01-04 17:00:00,0.001,0.23125333333333334,0.0,0.0,0.0
2024-01-04 17:15:00,0.001,0.057133333333333335,0.0,0.0,3.3333333333333335
2024-01-04 17:30:00,0.001,0.5780666666666666,0.0,0.0,0.6666666666666666
2024-01-04 17:45:00,0.001,0.3034040777399606,0.0,0.0,0.0
2024-01-04 18:00:00,0.001,0.2214904090393402,0.0,0.0,0.0
2024-01-04 18:15:00,0.001,0.0568237423726735,0.0,0.0,3.0
2024-01-04 18:30:00,0.001,0.0568237423726735,0.0,0.0,0.0
2024-01-04 18:45:00,0.001,0.0568237423726735,0.0,0.0,0.0
2024-01-04 19:00:00,0.001,0.09715707570600683,0.0,0.0,0.0
2024-01-04 19:15:00,0.001,0.3678237423726735,0.0,0.0,0.0
2024-01-04 19:30:00,0.001,0.2918237423726735,0.0,0.0,0.0
2024-01-04 19:45:00,0.001,0.1778237423726735,0.0,0.0,0.0
2024-01-04 20:00:00,0.001,0.16836474847453473,0.0,0.0,0.0
2024-01-04 20:15:00,0.001,0.166,0.0,0.0,0.0
2024-01-04 20:30:00,0.001,0.7013333333333333,0.0,0.0,0.0
2024-01-04 20:45:00,0.001,0.37072435876469334,0.0,0.0,2.0
