,Occupancy,EV,Tset,Tref,Twall,Tout,Ploss,Power,Power_limited
2024-01-05 00:43:00,2.0,0.0,14.5,11.806536598614187,10.612994200898529,2.0,255.11381050110973,3000.0,3000.0
2024-01-05 00:44:00,2.0,0.0,14.5,11.80554771500613,10.611396005337635,2.0,255.00408820726673,3000.0,3000.0
2024-01-05 00:45:00,2.0,0.0,14.5,11.804558605248381,10.60979849684077,2.0,254.89446198836836,3000.0,3000.0
2024-01-05 00:46:00,2.0,0.0,14.5,11.803569269768568,10.608201674806438,2.0,254.78493174306,3000.0,3000.0
2024-01-05 00:47:00,2.0,0.0,14.5,11.802579708993823,10.606605538633772,2.0,254.67549737009773,3000.0,3000.0
2024-01-05 00:48:00,2.0,0.0,14.5,11.801589923350793,10.605010087722544,2.0,254.56615876834707,3000.0,3000.0
2024-01-05 00:49:00,2.0,0.0,14.5,11.80059991326563,10.603415321473156,2.0,254.4569158367831,3000.0,3000.0
2024-01-05 00:50:00,2.0,0.0,14.5,11.799609679164002,10.601821239286643,2.0,254.34776847449064,3000.0,3000.0
2024-01-05 00:51:00,2.0,0.0,14.5,11.798619221471084,10.600227840564674,2.0,254.23871658066383,3000.0,3000.0
2024-01-05 00:52:00,2.0,0.0,14.5,11.797628540611566,10.598635124709546,2.0,254.1297600546062,3000.0,3000.0
2024-01-05 00:53:00,2.0,0.0,14.5,11.796637637009649,10.597043091124188,2.0,254.02089879573032,3000.0,3000.0
2024-01-05 00:54:00,2.0,0.0,14.5,11.795646511089046,10.595451739212159,2.0,253.91213270355803,790.2222222222263,790.2222222222263
2024-01-05 00:55:00,2.0,0.0,14.5,11.794655163272985,10.593861068377647,2.0,253.80346167771978,0.0,0.0
2024-01-05 00:56:00,2.0,0.0,14.5,11.793663593984206,10.592271078025467,2.0,253.69488561795555,0.0,0.0
2024-01-05 00:57:00,2.0,0.0,14.5,11.792671803644966,10.590681767561064,2.0,253.58640442411325,0.0,0.0
2024-01-05 00:58:00,2.0,0.0,14.5,11.791679792677035,10.589093136390506,2.0,253.47801799614987,0.0,0.0
2024-01-05 00:59:00,2.0,0.0,14.5,11.7906875615017,10.587505183920493,2.0,253.36972623413052,3000.0,3000.0
2024-01-05 01:00:00,2.0,0.0,14.5,11.789695110539764,10.585917909558347,2.0,253.26152903822918,565.8518518518522,565.8518518518522
2024-01-05 01:01:00,2.0,0.0,14.5,11.788702440211544,10.584331312712015,2.0,253.1534263087276,0.0,0.0
2024-01-05 01:02:00,2.0,0.0,14.5,11.787709550936878,10.582745392790068,2.0,253.04541794601593,0.0,0.0
