,DishWasher,BaseLoad,P_EV
2024-01-07 21:30:00,0.0,0.04,0.0
2024-01-07 21:45:00,0.0,0.04,0.0
2024-01-07 22:00:00,0.0,0.14266666666666666,0.0
2024-01-07 22:15:00,0.0,0.06199999999999999,0.0
2024-01-07 22:30:00,0.0,0.04,0.0
2024-01-07 22:45:00,0.0,0.04,0.0
2024-01-07 23:00:00,0.0,0.04,0.0
2024-01-07 23:15:00,0.0,0.06933333333333333,0.0
2024-01-07 23:30:00,0.0,0.13533333333333333,0.0
2024-01-07 23:45:00,0.0,0.04,0.0
2024-01-08 00:00:00,0.0,0.04,0.0
2024-01-08 00:15:00,0.0,0.04,0.0
2024-01-08 00:30:00,0.0,0.04,0.0
2024-01-08 00:45:00,0.0,0.106,0.0
2024-01-08 01:00:00,0.0,0.09866666666666667,0.0
2024-01-08 01:15:00,0.0,0.04,0.0
2024-01-08 01:30:00,0.0,0.04,0.0
2024-01-08 01:45:00,0.0,0.04,0.0
2024-01-08 02:00:00,0.0,0.04,0.0
2024-01-08 02:15:00,0.0,0.14266666666666666,0.0
2024-01-08 02:30:00,0.0,0.06199999999999999,0.0
2024-01-08 02:45:00,0.0,0.04,0.0
2024-01-08 03:00:00,0.0,0.04,0.0
2024-01-08 03:15:00,0.0,0.04,0.0
2024-01-08 03:30:00,0.0,0.06933333333333333,0.0
2024-01-08 03:45:00,0.0,0.13533333333333333,0.0
2024-01-08 04:00:00,0.0,0.04,0.0
2024-01-08 04:15:00,0.0,0.04,0.0
2024-01-08 04:30:00,0.0,0.04,0.0
2024-01-08 04:45:00,0.0,0.04,0.0
2024-01-08 05:00:00,0.0,0.106,0.0
2024-01-08 05:15:00,0.0,0.09866666666666667,0.0
2024-01-08 05:30:00,0.0,0.04,0.0
2024-01-08 05:45:00,0.0,0.04,0.0
2024-01-08 06:00:00,0.0,0.04,0.0
2024-01-08 06:15:00,0.0,0.04,0.0
2024-01-08 06:30:00,0.0,0.14266666666666666,0.0
2024-01-08 06:45:00,0.0,0.06199999999999999,0.0
2024-01-08 07:00:00,0.0,0.04,0.0
