,WasherDryer,TumbleDryer,DishWasher,BaseLoad,P_EV,P_HP
2024-01-08 00:00:00,0.001,0.001,0.0,0.05566666666666666,0.0,0.0
2024-01-08 00:15:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-08 00:30:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-08 00:45:00,0.001,0.001,0.0,0.06833333333333333,0.0,0.0
2024-01-08 01:00:00,0.001,0.001,0.0,0.233,0.0,0.0
2024-01-08 01:15:00,0.001,0.001,0.0,0.081,0.0,0.0
2024-01-08 01:30:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-08 01:45:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-08 02:00:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-08 02:15:00,0.001,0.001,0.0,0.233,0.0,0.0
2024-01-08 02:30:00,0.001,0.001,0.0,0.10633333333333334,0.0,0.0
2024-01-08 02:45:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-08 03:00:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-08 03:15:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-08 03:30:00,0.001,0.001,0.0,0.2076666666666667,0.0,0.0
2024-01-08 03:45:00,0.001,0.001,0.0,0.13166666666666668,0.0,1.2
2024-01-08 04:00:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-08 04:15:00,0.001,0.001,0.0,0.043,0.0,1.8
2024-01-08 04:30:00,0.001,0.001,0.0,0.043,0.0,3.0
2024-01-08 04:45:00,0.001,0.001,0.0,0.18233333333333335,0.0,2.2
2024-01-08 05:00:00,0.001,0.001,0.0,0.157,0.0,0.0
2024-01-08 05:15:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-08 05:30:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-08 05:45:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-08 06:00:00,0.001,0.001,0.0,0.157,0.0,0.0
2024-01-08 06:15:00,0.001,0.001,0.0,0.18233333333333335,0.0,0.0
2024-01-08 06:30:00,0.001,0.001,0.0,0.043,0.0,1.2
2024-01-08 06:45:00,0.001,0.001,0.0,0.043,0.0,1.4
2024-01-08 07:00:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-08 07:15:00,0.001,0.001,0.0,0.13166666666666668,0.0,0.0
2024-01-08 07:30:00,0.001,0.001,0.0,0.2076666666666667,0.0,0.0
2024-01-08 07:45:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-08 08:00:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-08 08:15:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-08 08:30:00,0.001,0.001,0.0,0.10633333333333334,0.0,0.4
2024-01-08 08:45:00,0.001,0.001,0.0,0.233,0.0,2.2
2024-01-08 09:00:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-08 09:15:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-08 09:30:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-08 09:45:00,0.001,0.001,0.0,0.081,0.0,0.0
2024-01-08 10:00:00,0.001,0.001,0.0,0.233,0.0,0.0
2024-01-08 10:15:00,0.001,0.001,0.0,0.06833333333333333,0.0,0.0
2024-01-08 10:30:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-08 10:45:00,0.001,0.001,0.0,0.043,0.0,2.2
2024-01-08 11:00:00,0.001,0.001,0.0,0.05566666666666666,0.0,0.4
2024-01-08 11:15:00,0.001,0.001,0.0,0.233,0.0,0.0
2024-01-08 11:30:00,0.001,0.001,0.0,0.09366666666666666,0.0,0.0
2024-01-08 11:45:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-08 12:00:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-08 12:15:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-08 12:30:00,0.001,0.001,0.0,0.22033333333333335,0.0,0.0
2024-01-08 12:45:00,0.001,0.001,0.0,0.11900000000000001,0.0,0.6
2024-01-08 13:00:00,0.001,0.001,0.0,0.043,0.0,2.0
2024-01-08 13:15:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-08 13:30:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-08 13:45:00,0.001,0.001,0.0,0.195,0.0,0.0
2024-01-08 14:00:00,0.001,0.001,0.0,0.14433333333333334,0.0,0.0
2024-01-08 14:15:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-08 14:30:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-08 14:45:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-08 15:00:00,0.001,0.001,0.0,0.16966666666666666,0.0,1.6
2024-01-08 15:15:00,0.001,0.001,0.0,0.16966666666666666,0.0,1.0
2024-01-08 15:30:00,0.001,0.001,0.0,0.043,0.0,0.0
