,TumbleDryer,DishWasher,BaseLoad,P_EV
2024-01-04 15:00:00,0.001,0.0,0.3435133333333333,0.0
2024-01-04 15:15:00,0.001,0.0,0.13,0.0
2024-01-04 15:30:00,0.001,0.0,0.054,0.0
2024-01-04 15:45:00,0.001,0.0,0.054,0.0
2024-01-04 16:00:00,0.001,0.0,0.054,0.0
2024-01-04 16:15:00,0.001,0.0,0.19333333333333333,2.8
2024-01-04 16:30:00,0.001,0.0,0.206,0.0
2024-01-04 16:45:00,0.001,0.0,0.054,0.0
2024-01-04 17:00:00,0.001,0.0,0.054,0.0
2024-01-04 17:15:00,0.001,0.0,0.054,0.0
2024-01-04 17:30:00,0.001,0.0,0.11733333333333333,1.8666666666666667
2024-01-04 17:45:00,0.001,0.0,0.24400000000000002,0.0
2024-01-04 18:00:00,0.001,0.0,0.092,0.0
2024-01-04 18:15:00,0.001,0.0,0.054,0.0
2024-01-04 18:30:00,0.001,0.0,0.054,0.0
2024-01-04 18:45:00,0.001,0.0,0.054,0.0
2024-01-04 19:00:00,0.001,0.0,0.2313333333333333,0.0
2024-01-04 19:15:00,0.001,0.0,0.168,0.0
2024-01-04 19:30:00,0.001,0.0,0.054,0.0
2024-01-04 19:45:00,0.001,0.0,0.054,0.0
2024-01-04 20:00:00,0.001,0.0,0.054,0.0
2024-01-04 20:15:00,0.001,0.0,0.15533333333333335,0.0
2024-01-04 20:30:00,0.001,0.0,0.24400000000000002,0.0
2024-01-04 20:45:00,0.001,0.0,0.054,0.0
2024-01-04 21:00:00,0.001,0.0,0.054,0.0
2024-01-04 21:15:00,0.001,0.0,0.054,0.0
2024-01-04 21:30:00,0.001,0.0,0.07933333333333333,0.0
2024-01-04 21:45:00,0.001,0.0,0.42079333333333335,0.0
2024-01-04 22:00:00,0.001,0.0,1.05649102543136,0.0
2024-01-04 22:15:00,0.001,0.0,0.5618404468444259,0.0
2024-01-04 22:30:00,0.001,0.0,0.5970759397255878,0.0
2024-01-04 22:45:00,0.001,0.0,0.9968759397255877,0.0
2024-01-04 23:00:00,0.001,0.0,1.0142092730589212,0.0
2024-01-04 23:15:00,0.001,0.0,0.5141426063922545,0.0
2024-01-04 23:30:00,0.001,0.0,0.3225237423726735,0.0
2024-01-04 23:45:00,0.001,0.0,0.2475589938981388,0.0
2024-01-05 00:00:00,0.001,0.0,0.3107,0.0
2024-01-05 00:15:00,0.001,0.0,0.37403333333333333,0.0
2024-01-05 00:30:00,0.001,0.0,0.5007,0.0
2024-01-05 00:45:00,0.001,0.0,0.32449999999999996,0.0
2024-01-05 01:00:00,0.001,0.0,0.18969999999999995,0.0
2024-01-05 01:15:00,0.001,0.0,0.18969999999999995,0.0
2024-01-05 01:30:00,0.001,0.0,0.18969999999999995,0.0
2024-01-05 01:45:00,0.001,0.0,0.3670333333333333,0.0
2024-01-05 02:00:00,0.001,0.0,0.30369999999999997,0.0
2024-01-05 02:15:00,0.001,0.0,0.18969999999999995,0.0
2024-01-05 02:30:00,0.001,0.0,0.18969999999999995,0.0
2024-01-05 02:45:00,0.001,0.0,0.18969999999999995,0.0
2024-01-05 03:00:00,0.001,0.0,0.2910333333333333,0.4666666666666667
2024-01-05 03:15:00,0.001,0.0,0.8856266666666667,0.4666666666666667
2024-01-05 03:30:00,0.001,0.0,0.054,0.0
2024-01-05 03:45:00,0.001,0.0,0.054,0.0
2024-01-05 04:00:00,0.001,0.0,0.054,0.0
2024-01-05 04:15:00,0.001,0.0,0.07933333333333333,0.0
2024-01-05 04:30:00,0.001,0.0,0.24400000000000002,0.0
2024-01-05 04:45:00,0.001,0.0,0.13,0.0
2024-01-05 05:00:00,0.001,0.0,0.054,0.0
2024-01-05 05:15:00,0.001,0.0,0.054,0.0
2024-01-05 05:30:00,0.001,0.0,0.054,0.0
2024-01-05 05:45:00,0.001,0.0,0.19333333333333333,0.0
2024-01-05 06:00:00,0.001,0.0,0.206,0.0
2024-01-05 06:15:00,0.001,0.0,0.054,0.0
2024-01-05 06:30:00,0.001,0.0,0.054,0.0
2024-01-05 06:45:00,0.001,0.0,0.054,0.0
2024-01-05 07:00:00,0.001,0.0,0.11733333333333333,0.0
2024-01-05 07:15:00,0.001,0.0,0.24400000000000002,0.0
2024-01-05 07:30:00,0.001,0.0,0.092,0.0
2024-01-05 07:45:00,0.001,0.0,0.054,0.0
2024-01-05 08:00:00,0.001,0.0,0.14346666666666666,0.0
2024-01-05 08:15:00,0.001,0.0,0.176,0.0
2024-01-05 08:30:00,0.001,0.0,0.361215828248449,0.0
2024-01-05 08:45:00,0.001,0.0,0.3018237423726735,0.0
2024-01-05 09:00:00,0.001,0.0,0.18782374237267352,0.0
2024-01-05 09:15:00,0.001,0.0,0.08209040903934017,0.0
2024-01-05 09:30:00,0.001,0.0,0.06503549288116194,0.0
2024-01-05 09:45:00,0.001,0.0,0.15533333333333335,0.0
2024-01-05 10:00:00,0.001,0.0,0.2518,0.0
2024-01-05 10:15:00,0.001,0.0,0.067,0.0
2024-01-05 10:30:00,0.001,0.0,0.067,0.0
2024-01-05 10:45:00,0.001,0.0,0.10232,2.3333333333333335
2024-01-05 11:00:00,0.001,0.0,0.21582158282484487,0.0
2024-01-05 11:15:00,0.001,0.0,0.43568374237267354,0.0
2024-01-05 11:30:00,0.001,0.0,0.34376374237267354,0.0
2024-01-05 11:45:00,0.001,0.0,0.2015237423726735,0.0
2024-01-05 12:00:00,0.001,0.0,0.2257237423726735,0.0
2024-01-05 12:15:00,0.001,0.0,0.3170059959320925,0.0
2024-01-05 12:30:00,0.001,0.0,0.8537745807908911,1.8666666666666667
