,TumbleDryer,BaseLoad,P_HP
2024-01-11 10:30:00,0.001,1.0510333333333333,0.0
2024-01-11 10:45:00,0.001,0.2657,0.0
2024-01-11 11:00:00,0.001,0.19709999999999997,0.0
2024-01-11 11:15:00,0.001,0.3017487175293867,0.0
2024-01-11 11:30:00,0.001,0.35382869633593744,0.0
2024-01-11 11:45:00,0.001,2.7614092730589213,0.0
2024-01-11 12:00:00,0.001,2.760609273058921,0.0
2024-01-11 12:15:00,0.001,1.2072092730589212,0.0
2024-01-11 12:30:00,0.001,0.7845217274510888,0.0
2024-01-11 12:45:00,0.001,0.45981538419605333,0.0
2024-01-11 13:00:00,0.001,0.3965543569007429,0.0
2024-01-11 13:15:00,0.001,1.0034759397255877,0.0
2024-01-11 13:30:00,0.001,0.49007593972558783,0.0
2024-01-11 13:45:00,0.001,0.3535585406079497,0.0
2024-01-11 14:00:00,0.001,1.2921237423726737,0.0
2024-01-11 14:15:00,0.001,2.6393863312993795,2.1333333333333333
2024-01-11 14:30:00,0.001,0.3695,0.0
2024-01-11 14:45:00,0.001,1.2154333333333334,0.0
2024-01-11 15:00:00,0.001,0.7908333333333333,0.0
2024-01-11 15:15:00,0.001,0.3217,0.0
2024-01-11 15:30:00,0.001,0.7215,0.0
2024-01-11 15:45:00,0.001,0.2000333333333333,0.0
2024-01-11 16:00:00,0.001,0.34436666666666665,0.0
2024-01-11 16:15:00,0.001,0.6120333333333333,0.0
2024-01-11 16:30:00,0.001,0.33336666666666664,0.0
2024-01-11 16:45:00,0.001,1.1093666666666666,0.0
2024-01-11 17:00:00,0.001,2.592045237705859,0.0
2024-01-11 17:15:00,0.001,2.4752521973529142,0.0
2024-01-11 17:30:00,0.001,3.708838864019581,0.8
2024-01-11 17:45:00,0.001,1.5751581932850067,1.6
2024-01-11 18:00:00,0.001,0.36507593972558783,0.0
2024-01-11 18:15:00,0.001,0.39040927305892115,0.0
2024-01-11 18:30:00,0.001,1.0113426063922544,0.0
2024-01-11 18:45:00,0.001,0.39500927305892114,0.0
2024-01-11 19:00:00,0.001,1.154475939725588,0.0
2024-01-11 19:15:00,0.001,1.0852092730589211,0.0
2024-01-11 19:30:00,0.001,0.4457426063922545,0.0
2024-01-11 19:45:00,0.001,0.4860759397255878,0.0
2024-01-11 20:00:00,0.001,0.4860759397255878,0.0
2024-01-11 20:15:00,0.001,0.5431661074092313,0.0
2024-01-11 20:30:00,0.001,0.6089229417595415,0.0
2024-01-11 20:45:00,0.001,0.6403426063922544,0.0
2024-01-11 21:00:00,0.001,0.4730759397255878,0.0
2024-01-11 21:15:00,0.001,0.8728759397255879,2.4
2024-01-11 21:30:00,0.001,0.4730759397255878,0.0
2024-01-11 21:45:00,0.001,0.9755426063922544,0.0
2024-01-11 22:00:00,0.001,1.0987057932353934,0.0
2024-01-11 22:15:00,0.001,0.6103515809608945,0.0
2024-01-11 22:30:00,0.001,0.4730759397255878,0.0
2024-01-11 22:45:00,0.001,0.4730759397255878,0.0
2024-01-11 23:00:00,0.001,0.5097426063922544,0.0
2024-01-11 23:15:00,0.001,0.566809273058921,0.0
2024-01-11 23:30:00,0.001,0.4293620296692708,0.0
2024-01-11 23:45:00,0.001,0.47958553068624765,0.0
2024-01-12 00:00:00,0.001,0.8733188640195809,0.0
2024-01-12 00:15:00,0.001,0.34025219735291434,0.0
2024-01-12 00:30:00,0.001,0.38261694582744904,0.0
2024-01-12 00:45:00,0.001,0.5626092730589212,0.0
2024-01-12 01:00:00,0.001,0.5726092730589212,0.0
2024-01-12 01:15:00,0.001,0.3504321669216716,0.0
2024-01-12 01:30:00,0.001,0.1985237423726735,0.0
2024-01-12 01:45:00,0.001,0.21319040903934017,0.0
2024-01-12 02:00:00,0.001,0.25146666666666667,0.0
2024-01-12 02:15:00,0.001,0.073,0.0
2024-01-12 02:30:00,0.001,0.13966666666666666,2.1333333333333333
2024-01-12 02:45:00,0.001,0.6980666666666667,0.26666666666666666
2024-01-12 03:00:00,0.001,0.051,0.0
2024-01-12 03:15:00,0.001,0.10966666666666666,0.0
2024-01-12 03:30:00,0.001,0.13899999999999998,0.0
2024-01-12 03:45:00,0.001,0.051,0.0
2024-01-12 04:00:00,0.001,0.15233333333333335,0.0
2024-01-12 04:15:00,0.001,0.15233333333333332,0.0
2024-01-12 04:30:00,0.001,0.051,0.0
2024-01-12 04:45:00,0.001,0.6867333333333333,2.4
2024-01-12 05:00:00,0.001,0.095,0.0
2024-01-12 05:15:00,0.001,0.051,0.0
2024-01-12 05:30:00,0.001,0.165,0.0
2024-01-12 05:45:00,0.001,0.13966666666666666,0.0
2024-01-12 06:00:00,0.001,0.08766666666666666,0.0
2024-01-12 06:15:00,0.001,0.161,0.0
2024-01-12 06:30:00,0.001,0.051,0.0
2024-01-12 06:45:00,0.001,0.051,0.0
2024-01-12 07:00:00,0.001,0.17766666666666667,0.0
2024-01-12 07:15:00,0.001,0.127,0.0
2024-01-12 07:30:00,0.001,0.13166666666666668,0.0
2024-01-12 07:45:00,0.001,0.117,0.0
2024-01-12 08:00:00,0.001,0.4508,0.26666666666666666
2024-01-12 08:15:00,0.001,0.18426666666666666,2.1333333333333333
2024-01-12 08:30:00,0.001,0.1964,0.0
