,BaseLoad
2024-01-10 04:15:00,0.047
2024-01-10 04:30:00,0.11933333333333333
2024-01-10 04:45:00,0.3286666666666667
2024-01-10 05:00:00,0.22433333333333333
2024-01-10 05:15:00,0.047
2024-01-10 05:30:00,0.047
2024-01-10 05:45:00,0.047
2024-01-10 06:00:00,0.4571333333333333
2024-01-10 06:15:00,0.27799999999999997
2024-01-10 06:30:00,0.29900000000000004
2024-01-10 06:45:00,0.08499999999999999
2024-01-10 07:00:00,0.047
2024-01-10 07:15:00,0.047
2024-01-10 07:30:00,0.047
2024-01-10 07:45:00,0.1756666666666667
2024-01-10 08:00:00,0.361
2024-01-10 08:15:00,0.14606666666666665
2024-01-10 08:30:00,0.05999999999999999
2024-01-10 08:45:00,0.05999999999999999
2024-01-10 09:00:00,0.12453333333333333
2024-01-10 09:15:00,0.21106666666666665
2024-01-10 09:30:00,0.4876666666666667
2024-01-10 09:45:00,0.3383333333333333
2024-01-10 10:00:00,0.168
2024-01-10 10:15:00,0.13573333333333334
2024-01-10 10:30:00,0.05604666666666667
2024-01-10 10:45:00,0.1827
2024-01-10 11:00:00,0.8308333333333333
2024-01-10 11:15:00,0.9987666666666667
2024-01-10 11:30:00,0.1827
2024-01-10 11:45:00,0.1827
2024-01-10 12:00:00,0.18703333333333333
2024-01-10 12:15:00,0.19569999999999999
2024-01-10 12:30:00,0.4343666666666667
2024-01-10 12:45:00,0.7527
2024-01-10 13:00:00,0.4549
2024-01-10 13:15:00,0.40163333333333334
2024-01-10 13:30:00,0.3167
2024-01-10 13:45:00,0.2763666666666667
2024-01-10 14:00:00,0.21696666666666664
2024-01-10 14:15:00,0.5277000000000001
2024-01-10 14:30:00,0.34603333333333336
2024-01-10 14:45:00,0.1827
2024-01-10 15:00:00,0.1827
2024-01-10 15:15:00,0.1827
2024-01-10 15:30:00,0.1827
2024-01-10 15:45:00,0.4380333333333334
2024-01-10 16:00:00,0.45870000000000005
2024-01-10 16:15:00,0.15556
2024-01-10 16:30:00,0.047
2024-01-10 16:45:00,0.047
2024-01-10 17:00:00,0.047
2024-01-10 17:15:00,0.18966666666666668
2024-01-10 17:30:00,0.392
2024-01-10 17:45:00,0.09066666666666667
2024-01-10 18:00:00,0.047
2024-01-10 18:15:00,0.08318666666666667
2024-01-10 18:30:00,0.1827
2024-01-10 18:45:00,0.23336666666666664
2024-01-10 19:00:00,0.5133437728039162
2024-01-10 19:15:00,0.37058553068624767
2024-01-10 19:30:00,0.2142521973529143
2024-01-10 19:45:00,0.2142521973529143
2024-01-10 20:00:00,0.2205581932850068
2024-01-10 20:15:00,0.7591426063922545
2024-01-10 20:30:00,0.9527426063922545
2024-01-10 20:45:00,1.1365217274510888
2024-01-10 21:00:00,0.4206715809608944
2024-01-10 21:15:00,0.6902492730589211
2024-01-10 21:30:00,1.0264092730589212
2024-01-10 21:45:00,0.3600759397255878
2024-01-10 22:00:00,0.5097426063922544
2024-01-10 22:15:00,0.6154759397255878
2024-01-10 22:30:00,0.4010092730589212
2024-01-10 22:45:00,0.34707593972558776
2024-01-10 23:00:00,0.34471119125105315
2024-01-10 23:15:00,0.34628769023407624
2024-01-10 23:30:00,0.9456709950001173
2024-01-10 23:45:00,0.6088570757060069
2024-01-11 00:00:00,0.43259040903934015
2024-01-11 00:15:00,0.26076374237267347
2024-01-11 00:30:00,0.23553074440662722
2024-01-11 00:45:00,0.1945237423726735
2024-01-11 01:00:00,0.2325237423726735
2024-01-11 01:15:00,0.42585707570600684
2024-01-11 01:30:00,0.29887040903934015
2024-01-11 01:45:00,0.07957649898302314
2024-01-11 02:00:00,0.047
2024-01-11 02:15:00,0.13532
2024-01-11 02:30:00,0.06908
2024-01-11 02:45:00,0.22433333333333333
2024-01-11 03:00:00,0.308
2024-01-11 03:15:00,0.25293333333333334
2024-01-11 03:30:00,0.168
2024-01-11 03:45:00,0.168
2024-01-11 04:00:00,0.7010666666666666
2024-01-11 04:15:00,0.2704666666666667
2024-01-11 04:30:00,0.2966666666666667
2024-01-11 04:45:00,0.202
2024-01-11 05:00:00,0.047
2024-01-11 05:15:00,0.4468
2024-01-11 05:30:00,0.0522
2024-01-11 05:45:00,0.5358
2024-01-11 06:00:00,0.5563153841960534
2024-01-11 06:15:00,0.41781886401958096
2024-01-11 06:30:00,0.14228553068624764
2024-01-11 06:45:00,0.07855219735291431
2024-01-11 07:00:00,0.05541391929411048
2024-01-11 07:15:00,0.7516666666666667
2024-01-11 07:30:00,0.25
2024-01-11 07:45:00,0.252
2024-01-11 08:00:00,0.3172666666666667
2024-01-11 08:15:00,0.4528666666666667
2024-01-11 08:30:00,0.4468
2024-01-11 08:45:00,0.051333333333333335
2024-01-11 09:00:00,0.22466666666666668
2024-01-11 09:15:00,0.24066666666666667
2024-01-11 09:30:00,0.215
2024-01-11 09:45:00,0.10004666666666666
2024-01-11 10:00:00,0.19569999999999999
2024-01-11 10:15:00,0.26936666666666664
2024-01-11 10:30:00,1.1877
2024-01-11 10:45:00,2.4723666666666664
