,WasherDryer,DishWasher,WashingMachine,BaseLoad,P_HP
2024-01-11 02:15:00,0.001,0.0,0.001,0.049,0.0
2024-01-11 02:30:00,0.001,0.0,0.001,0.10766666666666666,0.0
2024-01-11 02:45:00,0.001,0.0,0.001,0.137,0.0
2024-01-11 03:00:00,0.001,0.0,0.001,0.049,0.6
2024-01-11 03:15:00,0.001,0.0,0.001,0.049,0.0
2024-01-11 03:30:00,0.001,0.0,0.001,0.049,0.0
2024-01-11 03:45:00,0.001,0.0,0.001,0.10033333333333334,0.0
2024-01-11 04:00:00,0.001,0.0,0.001,0.14433333333333334,0.0
2024-01-11 04:15:00,0.001,0.0,0.001,0.049,1.0
2024-01-11 04:30:00,0.001,0.0,0.001,0.049,1.4
2024-01-11 04:45:00,0.001,0.0,0.001,0.049,0.0
2024-01-11 05:00:00,0.001,0.0,0.001,0.093,2.0
2024-01-11 05:15:00,0.001,0.0,0.001,0.15166666666666667,0.2
2024-01-11 05:30:00,0.001,0.0,0.001,0.049,0.0
2024-01-11 05:45:00,0.001,0.0,0.001,0.049,0.0
2024-01-11 06:00:00,0.001,0.0,0.001,0.049,0.0
2024-01-11 06:15:00,0.001,0.0,0.001,0.08566666666666668,0.0
2024-01-11 06:30:00,0.001,0.0,0.001,0.159,0.0
2024-01-11 06:45:00,0.001,0.0,0.001,0.049,0.0
2024-01-11 07:00:00,0.001,0.0,0.001,0.049,0.0
2024-01-11 07:15:00,0.001,0.0,0.001,0.049,0.0
2024-01-11 07:30:00,0.001,0.0,0.001,0.07833333333333334,0.0
2024-01-11 07:45:00,0.001,0.0,0.001,0.159,0.0
2024-01-11 08:00:00,0.001,0.0,0.001,0.05633333333333333,0.2
2024-01-11 08:15:00,0.001,0.0,0.001,0.049,2.8
2024-01-11 08:30:00,0.001,0.0,0.001,0.049,0.0
2024-01-11 08:45:00,0.001,0.0,0.001,0.071,0.0
2024-01-11 09:00:00,0.001,0.0,0.001,0.159,0.0
2024-01-11 09:15:00,0.001,0.0,0.001,0.06366666666666668,0.0
2024-01-11 09:30:00,0.001,0.0,0.001,0.049,0.0
2024-01-11 09:45:00,0.001,0.0,0.001,0.049,0.0
2024-01-11 10:00:00,0.001,0.0,0.001,0.06366666666666668,0.0
2024-01-11 10:15:00,0.001,0.0,0.001,0.159,0.0
2024-01-11 10:30:00,0.001,0.0,0.001,0.071,0.0
2024-01-11 10:45:00,0.3701495668269094,0.0,0.001,0.5820666666666666,0.0
2024-01-11 11:00:00,0.7920347860576631,0.0,0.001,0.049,0.0
2024-01-11 11:15:00,0.7920347860576631,0.0,0.001,0.06413333333333333,0.0
2024-01-11 11:30:00,0.7920347860576631,0.0,0.001,0.172,0.0
2024-01-11 11:45:00,0.7920347860576631,0.0,0.001,0.09133333333333332,0.0
2024-01-11 12:00:00,0.7920347860576631,0.0,0.001,0.06199999999999999,0.0
2024-01-11 12:15:00,0.7920347860576631,0.0,0.001,0.5950666666666666,0.0
2024-01-11 12:30:00,0.7920347860576631,0.0,0.001,0.1533046517450819,0.0
2024-01-11 12:45:00,0.7920347860576631,0.0,0.001,0.7355855306862477,0.0
2024-01-11 13:00:00,0.7920347860576631,0.0,0.001,1.5009188640195812,0.0
2024-01-11 13:15:00,0.528356524038442,0.0,0.001,1.4642521973529143,0.0
2024-01-11 13:30:00,0.001,0.0,0.001,0.20914462131383924,0.0
2024-01-11 13:45:00,0.001,0.0,0.001,0.4743237423726735,0.0
2024-01-11 14:00:00,0.001,0.0,0.001,0.6755237423726735,0.0
