,TumbleDryer,DishWasher,BaseLoad,P_WB
2024-01-05 11:15:00,0.001,0.0,0.10837593972558782,1.5
2024-01-05 11:30:00,0.001,0.0,0.10837593972558782,1.5
2024-01-05 11:45:00,0.001,0.0,1.6993159397255877,1.5
2024-01-05 12:00:00,0.001,0.0,2.308875939725588,1.5
2024-01-05 12:15:00,0.001,0.0,0.5835724599020602,1.5
2024-01-05 12:30:00,0.001,0.0,0.2243237423726735,1.5
2024-01-05 12:45:00,0.001,0.0,0.1995237423726735,1.5
2024-01-05 13:00:00,0.001,0.0,3.117475939725588,1.5
2024-01-05 13:15:00,0.001,0.0,3.014613109443185,1.5
2024-01-05 13:30:00,0.001,0.0,0.48991886401958096,1.5
2024-01-05 13:45:00,0.001,0.0,0.5168781932850068,1.5
2024-01-05 14:00:00,0.001,0.0,0.2440759397255878,1.5
2024-01-05 14:15:00,0.001,0.0,0.23454260639225447,1.5
2024-01-05 14:30:00,0.001,0.0,1.1679057932353936,1.5
2024-01-05 14:45:00,0.001,0.0,2.3499426063922546,1.5
2024-01-05 15:00:00,0.001,0.0,1.3070680256013634,1.5
2024-01-05 15:15:00,0.001,0.0,0.4435855306862476,1.5
2024-01-05 15:30:00,0.001,0.0,0.25265219735291433,1.5
2024-01-05 15:45:00,0.001,0.0,0.2322521973529143,1.5
2024-01-05 16:00:00,0.001,0.0,0.25261043947058287,1.5
2024-01-05 16:15:00,0.001,0.0,0.47930000000000006,1.5
2024-01-05 16:30:00,0.001,0.0,0.5461000000000001,1.5
2024-01-05 16:45:00,0.001,0.0,0.48069999999999996,1.5
2024-01-05 17:00:00,0.001,0.0,0.3137449447254705,1.5
2024-01-05 17:15:00,0.001,0.0,0.36919886401958096,1.5
2024-01-05 17:30:00,0.001,0.15033333333333332,0.3532521973529143,1.5
2024-01-05 17:45:00,0.001,2.25,0.5065855306862477,1.5
2024-01-05 18:00:00,0.001,1.0505333333333333,0.5632521973529143,1.5
2024-01-05 18:15:00,0.001,1.2004666666666668,0.919718864019581,1.5
2024-01-05 18:30:00,0.001,0.0006000000000000001,0.3532521973529143,1.5
2024-01-05 18:45:00,0.001,0.0,0.8581868324863596,1.5
2024-01-05 19:00:00,0.001,0.0,0.47310084850992307,1.5
2024-01-05 19:15:00,0.001,0.0,0.5290759397255879,1.5
2024-01-05 19:30:00,0.001,0.0,0.5437426063922544,1.5
2024-01-05 19:45:00,0.001,0.0,0.5134092730589211,1.5
