,WashingMachine,BaseLoad,P_EV,P_WB
2024-01-04 15:15:00,0.001,0.3123904090393402,0.0,0.6
2024-01-04 15:30:00,0.001,0.3205237423726735,0.0,2.2
2024-01-04 15:45:00,0.001,0.45197458079089115,0.0,3.0
2024-01-04 16:00:00,0.001,0.4607,7.333333333333333,0.0
2024-01-04 16:15:00,0.001,0.2843,11.0,0.0
2024-01-04 16:30:00,0.001,0.7197666666666666,5.133333333333334,0.0
2024-01-04 16:45:00,0.001,0.18669999999999998,0.0,0.0
2024-01-04 17:00:00,0.001,0.18669999999999998,0.0,0.0
2024-01-04 17:15:00,0.001,0.30069999999999997,0.0,0.0
2024-01-04 17:30:00,0.001,0.3721,0.0,0.0
2024-01-04 17:45:00,0.001,0.3077,0.0,0.0
2024-01-04 18:00:00,0.001,0.20818666666666666,0.0,0.0
2024-01-04 18:15:00,0.001,0.172,0.0,0.0
2024-01-04 18:30:00,0.06337075933274473,0.2772716113921371,0.0,2.2
2024-01-04 18:45:00,0.3414159952733573,0.4262188640195809,0.0,0.4
2024-01-04 19:00:00,0.7703547907991353,0.5275521973529143,0.0,2.8
2024-01-04 19:15:00,0.14195283548275117,1.023752774075898,0.0,0.0
2024-01-04 19:30:00,0.1586556859711958,0.6070759397255878,0.0,0.8
2024-01-04 19:45:00,1.0589097406909311,0.577627222196201,0.0,2.2
2024-01-04 20:00:00,0.7245716183784601,0.5755237423726735,0.0,0.0
2024-01-04 20:15:00,0.11168793632775932,0.659891873941283,0.0,0.0
2024-01-04 20:30:00,0.19883213881083456,0.7970759397255878,0.0,0.0
2024-01-04 20:45:00,1.1919111899081825,0.6355385286522939,0.0,0.0
2024-01-04 21:00:00,0.10943051901756166,0.541918864019581,0.0,0.0
2024-01-04 21:15:00,0.17218476076597364,0.5155897143934545,0.0,0.0
2024-01-04 21:30:00,0.35116374390942556,0.5779973686863954,0.0,0.6
2024-01-04 21:45:00,0.5287194589028279,0.7852759397255878,0.0,3.0
2024-01-04 22:00:00,0.12049328674879728,0.6750759397255878,0.0,0.4
2024-01-04 22:15:00,0.06883363667215604,0.5976759397255879,0.0,2.8
2024-01-04 22:30:00,0.001,0.6070759397255878,0.0,1.4
2024-01-04 22:45:00,0.001,0.5916023134118659,0.0,0.0
2024-01-04 23:00:00,0.001,1.000809273058921,0.0,0.2
2024-01-04 23:15:00,0.001,0.6197426063922544,0.0,3.0
2024-01-04 23:30:00,0.001,0.6594759397255878,0.0,3.0
2024-01-04 23:45:00,0.001,0.3317426063922545,0.0,0.0
2024-01-05 00:00:00,0.001,0.22731502763531702,0.0,1.0
2024-01-05 00:15:00,0.001,0.2961208789411657,0.0,2.8
2024-01-05 00:30:00,0.001,0.3077,0.0,0.0
2024-01-05 00:45:00,0.001,0.7074999999999999,0.0,0.0
2024-01-05 01:00:00,0.001,1.0180999999999998,0.0,0.0
2024-01-05 01:15:00,0.001,0.4217,0.0,0.0
2024-01-05 01:30:00,0.001,0.2028333333333333,0.0,0.0
2024-01-05 01:45:00,0.001,0.18669999999999998,0.0,0.4
2024-01-05 02:00:00,0.001,0.18669999999999998,0.0,1.6
2024-01-05 02:15:00,0.001,0.18669999999999998,0.0,0.0
2024-01-05 02:30:00,0.001,1.1382999999999999,0.0,0.0
2024-01-05 02:45:00,0.001,0.3260333333333333,0.0,0.0
2024-01-05 03:00:00,0.001,0.18669999999999998,0.0,0.0
2024-01-05 03:15:00,0.001,0.18669999999999998,0.0,2.0
2024-01-05 03:30:00,0.001,0.18669999999999998,0.0,1.2
2024-01-05 03:45:00,0.001,0.15051333333333333,0.0,0.0
2024-01-05 04:00:00,0.001,0.17766666666666667,0.0,0.0
2024-01-05 04:15:00,0.001,0.21566666666666665,0.0,3.0
2024-01-05 04:30:00,0.001,0.051,0.0,3.0
2024-01-05 04:45:00,0.001,0.051,0.0,0.8
2024-01-05 05:00:00,0.001,0.5840666666666666,0.0,0.0
2024-01-05 05:15:00,0.001,0.051,0.0,2.8
2024-01-05 05:30:00,0.001,0.15233333333333335,0.0,3.0
2024-01-05 05:45:00,0.001,0.6408,0.0,1.8
2024-01-05 06:00:00,0.001,0.051,0.0,0.0
2024-01-05 06:15:00,0.001,0.051,0.0,0.0
2024-01-05 06:30:00,0.001,0.051,0.0,0.0
2024-01-05 06:45:00,0.001,0.18426666666666666,0.0,1.4
2024-01-05 07:00:00,0.001,0.9266,0.0,0.6
2024-01-05 07:15:00,0.001,0.241,0.0,0.2
2024-01-05 07:30:00,0.001,0.08066666666666666,0.0,2.0
2024-01-05 07:45:00,0.001,0.064,0.0,0.0
2024-01-05 08:00:00,0.001,0.064,0.0,0.0
2024-01-05 08:15:00,0.001,0.064,0.0,0.0
2024-01-05 08:30:00,0.001,0.17973333333333336,0.0,2.8
2024-01-05 08:45:00,0.001,0.376,0.0,3.0
2024-01-05 09:00:00,0.001,0.25766666666666665,0.0,3.0
2024-01-05 09:15:00,0.001,0.362,0.0,3.0
2024-01-05 09:30:00,0.001,0.428,0.0,0.4
2024-01-05 09:45:00,0.1343270449307853,0.33853333333333335,0.0,0.0
2024-01-05 10:00:00,0.3980656350139567,0.3313333333333333,0.0,0.8
2024-01-05 10:15:00,0.7000993479286205,0.4798666666666667,0.0,2.4
2024-01-05 10:30:00,0.1361017319839218,0.25306666666666666,0.0,0.0
2024-01-05 10:45:00,0.2459531966181246,0.186,0.0,0.0
2024-01-05 11:00:00,1.262108895437139,0.5858000000000001,0.0,0.0
2024-01-05 11:15:00,0.4280888661194665,0.186,0.0,0.0
2024-01-05 11:30:00,0.11063258560186728,0.1808,0.0,0.0
