,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_HP,P_WB
2024-01-02 17:15:00,0.001,0.0,0.001,0.05926666666666667,0.0,0.0
2024-01-02 17:30:00,0.001,0.0,0.001,0.247,0.0,0.0
2024-01-02 17:45:00,0.001,0.0,0.001,0.1464549161581782,0.0,0.0
2024-01-02 18:00:00,0.001,0.0,0.001,0.5486237423726734,3.0,0.0
2024-01-02 18:15:00,0.001,0.0,0.001,2.5118237423726737,0.0,2.6666666666666665
2024-01-02 18:30:00,0.001,0.0,0.001,0.15849040903934017,0.0,2.3333333333333335
2024-01-02 18:45:00,0.001,0.0,0.001,0.4809570757060069,0.0,0.0
2024-01-02 19:00:00,0.001,0.0,0.001,0.25555289199880005,0.0,0.0
2024-01-02 19:15:00,0.001,0.0,0.001,0.1515521973529143,0.0,0.0
2024-01-02 19:30:00,0.001,0.0,0.001,0.07555219735291431,0.0,0.0
2024-01-02 19:45:00,0.001,0.0,0.001,0.6452855306862476,0.0,0.0
2024-01-02 20:00:00,0.001,0.0,0.001,0.1855521973529143,0.0,0.0
2024-01-02 20:15:00,0.001,0.0,0.1343270449307853,0.3059274820274847,0.0,0.0
2024-01-02 20:30:00,0.001,0.0,0.3980656350139567,2.7658237423726737,0.0,0.0
2024-01-02 20:45:00,0.001,0.0,0.7000993479286205,0.4000904090393402,0.0,4.333333333333333
2024-01-02 21:00:00,0.001,0.0,0.1361017319839218,0.17682374237267354,0.0,0.3333333333333333
2024-01-02 21:15:00,0.001,0.0,0.2459531966181246,0.6180904090393402,0.0,4.333333333333333
2024-01-02 21:30:00,0.001,0.0,1.262108895437139,0.23213741107329391,0.0,0.0
2024-01-02 21:45:00,0.001,0.0,0.4280888661194665,0.24581069006407294,0.0,0.0
2024-01-02 22:00:00,0.001,0.0,0.11063258560186728,0.4070426063922544,1.3333333333333333,0.0
2024-01-02 22:15:00,0.001,0.0,0.2961313106793138,0.25904260639225446,2.0,0.0
2024-01-02 22:30:00,0.001,0.0,0.9065954028231974,0.20837593972558782,0.0,0.0
2024-01-02 22:45:00,0.001,0.0,0.001,0.23037593972558784,0.0,0.0
2024-01-02 23:00:00,0.001,0.0,0.001,0.3183759397255878,0.0,2.3333333333333335
2024-01-02 23:15:00,0.001,0.0,0.001,0.19291310944318507,0.0,0.0
2024-01-02 23:30:00,0.001,0.0,0.001,0.2571382780588038,0.0,0.0
2024-01-02 23:45:00,0.001,0.0,0.001,0.6150666666666668,0.0,0.0
2024-01-03 00:00:00,0.001,0.0,0.001,0.05030599593209253,0.0,0.0
2024-01-03 00:15:00,0.001,0.0,0.001,0.07049040903934016,0.0,2.3333333333333335
2024-01-03 00:30:00,0.001,0.0,0.001,0.1658237423726735,0.0,0.0
2024-01-03 00:45:00,0.001,0.0,0.001,0.15382374237267352,0.0,0.0
2024-01-03 01:00:00,0.001,0.0,0.001,0.24582374237267351,0.0,0.0
2024-01-03 01:15:00,0.001,0.0,0.001,0.07169808180786803,0.0,0.0
2024-01-03 01:30:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-03 01:45:00,0.001,0.0,0.001,0.051333333333333335,0.0,0.0
2024-01-03 02:00:00,0.001,0.0,0.001,0.154,0.0,0.0
2024-01-03 02:15:00,0.001,0.0,0.001,0.162,0.0,0.0
2024-01-03 02:30:00,0.001,0.0,0.001,0.234,0.0,0.0
2024-01-03 02:45:00,0.001,0.0,0.001,0.056666666666666664,0.0,0.0
2024-01-03 03:00:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-03 03:15:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-03 03:30:00,0.001,0.0,0.001,0.154,0.0,0.0
2024-01-03 03:45:00,0.001,0.0,0.001,0.182,0.0,0.0
2024-01-03 04:00:00,0.001,0.0,0.001,0.234,0.0,0.0
2024-01-03 04:15:00,0.001,0.0,0.001,0.44380000000000003,2.6666666666666665,0.0
2024-01-03 04:30:00,0.001,0.0,0.001,0.044,2.6666666666666665,2.0
2024-01-03 04:45:00,0.001,0.0,0.001,0.044,0.0,2.3333333333333335
2024-01-03 05:00:00,0.001,0.0,0.001,0.14666666666666667,0.0,1.3333333333333333
2024-01-03 05:15:00,0.001,0.0,0.001,0.202,0.0,0.3333333333333333
2024-01-03 05:30:00,0.001,0.0,0.001,0.22133333333333335,0.0,5.0
2024-01-03 05:45:00,0.001,0.0,0.001,0.044,0.0,2.3333333333333335
