,WasherDryer,WashingMachine,BaseLoad
2024-01-04 17:45:00,0.001,0.28592485526772343,0.9495666666666666
2024-01-04 18:00:00,0.001,0.08392610271160748,0.4407
2024-01-04 18:15:00,0.001,0.001,0.45008057672298374
2024-01-04 18:30:00,0.001,0.001,0.5189237423726735
2024-01-04 18:45:00,0.001,0.001,1.01859040903934
2024-01-04 19:00:00,0.3701495668269094,0.001,0.332565500255005
2024-01-04 19:15:00,0.7920347860576631,0.001,0.36307593972558777
2024-01-04 19:30:00,0.7920347860576631,0.001,0.3536994407425647
2024-01-04 19:45:00,0.7920347860576631,0.001,0.3500759397255878
2024-01-04 20:00:00,0.7920347860576631,0.001,0.9784759397255879
2024-01-04 20:15:00,0.7920347860576631,0.001,0.38037447482364495
2024-01-04 20:30:00,0.7920347860576631,0.001,0.32659040903934017
2024-01-04 20:45:00,0.7920347860576631,0.001,0.46266202043147736
2024-01-04 21:00:00,0.7920347860576631,0.001,0.4710759397255878
2024-01-04 21:15:00,0.7920347860576631,0.001,0.47840927305892117
2024-01-04 21:30:00,0.7920347860576631,0.001,0.5649426063922545
2024-01-04 21:45:00,0.7920347860576631,0.001,0.5004092730589211
2024-01-04 22:00:00,0.528356524038442,0.001,0.4710759397255878
2024-01-04 22:15:00,0.001,0.001,0.4710759397255878
2024-01-04 22:30:00,0.001,0.001,0.4710759397255878
2024-01-04 22:45:00,0.001,0.001,0.5004092730589211
2024-01-04 23:00:00,0.001,0.001,0.6693959397255878
2024-01-04 23:15:00,0.001,0.001,0.4486992868785274
2024-01-04 23:30:00,0.001,0.001,0.4491139192941105
2024-01-04 23:45:00,0.001,0.001,0.47934644277651844
2024-01-05 00:00:00,0.001,0.001,0.4840759397255878
2024-01-05 00:15:00,0.001,0.001,0.5354092730589212
2024-01-05 00:30:00,0.001,0.001,0.5716092730589212
2024-01-05 00:45:00,0.001,0.001,0.39040927305892115
2024-01-05 01:00:00,0.001,0.001,0.4639816943019837
2024-01-05 01:15:00,0.001,0.001,0.35124029298038856
2024-01-05 01:30:00,0.001,0.001,0.3067
