,WasherDryer,TumbleDryer,WashingMachine,BaseLoad,P_WB
2024-01-04 16:00:00,0.001,0.001,0.001,0.049,1.2
2024-01-04 16:15:00,0.001,0.001,0.001,0.049,1.8
2024-01-04 16:30:00,0.001,0.001,0.001,0.22633333333333333,1.2
2024-01-04 16:45:00,0.001,0.001,0.001,0.06166666666666667,0.8
2024-01-04 17:00:00,0.001,0.001,0.001,0.049,0.2
2024-01-04 17:15:00,0.001,0.001,0.001,0.5820666666666666,0.0
2024-01-04 17:30:00,0.001,0.001,0.001,0.049,0.2
2024-01-04 17:45:00,0.001,0.001,0.001,0.16299999999999998,1.2
2024-01-04 18:00:00,0.001,0.001,0.001,0.17226666666666668,0.0
2024-01-04 18:15:00,0.001,0.001,0.001,0.2997059959320925,1.4
2024-01-04 18:30:00,0.001,0.001,0.001,0.1948237423726735,0.2
2024-01-04 18:45:00,0.001,0.001,0.001,0.1948237423726735,0.6
2024-01-04 19:00:00,0.001,0.001,0.001,0.24115707570600683,0.2
2024-01-04 19:15:00,0.001,0.001,0.001,0.3540904090393402,0.0
2024-01-04 19:30:00,0.001,0.001,0.001,0.17809424542360414,1.0
2024-01-04 19:45:00,0.001,0.001,0.001,0.5826237423726736,0.2
2024-01-04 20:00:00,0.001,0.001,0.001,0.7562237423726735,0.0
2024-01-04 20:15:00,0.001,0.001,0.001,0.3922904090393402,0.2
2024-01-04 20:30:00,0.001,0.001,0.001,0.48015707570600685,1.6
2024-01-04 20:45:00,0.001,0.001,0.001,0.31549040903934017,1.6
2024-01-04 21:00:00,0.001,0.001,0.001,0.4248237423726735,1.4
2024-01-04 21:15:00,0.001,0.001,0.001,0.33390983231635646,0.4
2024-01-04 21:30:00,0.001,0.001,0.001,0.32426666666666665,0.4
